,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.5066,35.3525,6.1541,3515.3054,26.0143,54.19564079999996,54.19564079999996,13.3981,0.0,6.1541,3515.3054,35.3525,25.567,3258.0,0.0432,0.9413,0.0432,0.9413,64.08367486770155,19.950603359834478,12.61163153,0.3113211500592278,0.6321428631772785,13.598099999999999,41.5066,35.3525,0.0432,1.0413000000000001,26.0143,3515.3054
1,1.011469,41.685,35.2291,6.4559,3515.3054,25.8093,57.90161279999996,57.90161279999996,13.367,0.114,6.1541,3515.3054,35.3525,25.567,3258.0,0.0432,0.9413,0.0432,1.0208,66.96693566159267,21.314852888823395,13.6450336,0.31828920762530927,0.6401655067089334,13.567,41.685,35.2291,0.0432,1.1208,25.8093,3515.3054
2,1.031474,41.8487,35.3018,6.546900000000001,3509.5629,25.8093,54.58255359999996,54.58255359999996,13.3116,0.113,6.1541,3515.3054,35.3525,26.08396622818775,3411.083397606148,0.0432,0.9413,0.0432,0.9496,67.98857745696309,20.060211049840976,12.64069536,0.29505266620027654,0.6301377053607922,13.5116,41.8487,35.3018,0.0432,1.0496,25.8093,3509.5629
3,1.051487,41.6025,35.1827,6.419800000000002,3509.5629,25.9361,54.554583999999956,54.554583999999956,13.4735,0.113,6.1541,3515.3054,35.3525,26.08396622818775,3411.083397606148,0.0432,0.9413,0.0432,0.949,66.88866155158918,20.04993164658895,12.786351499999999,0.2997508274421824,0.6377254409331272,13.673499999999999,41.6025,35.1827,0.0432,1.049,25.9361,3509.5629
4,1.203603,41.4773,35.215,6.262299999999996,3521.0666,25.9361,54.18631759999996,54.18631759999996,13.3809,0.113,6.1541,3515.3054,35.3525,26.08396622818775,3411.083397606148,0.0432,0.9413,0.0432,0.9411,65.11174814678962,19.97986251152492,12.592764990000001,0.3068549544466507,0.6302728551178045,13.5809,41.4773,35.215,0.0432,1.0411000000000001,25.9361,3521.0666
5,1.436719,41.5787,35.4484,6.130299999999998,3521.0666,25.557,55.20720799999996,55.20720799999996,13.4412,0.11,6.1541,3515.3054,35.3525,26.08396622818775,3411.083397606148,0.0432,0.9413,0.0432,0.963,62.69257458860126,20.356290560795713,12.9438756,0.3247001849003165,0.6358661250851213,13.6412,41.5787,35.4484,0.0432,1.063,25.557,3521.0666
6,1.670182,41.674,34.9676,6.706400000000002,3521.0666,25.557,59.65437439999996,59.65437439999996,13.4523,0.115,6.1541,3515.3054,35.3525,25.598253825403425,3442.0886886639714,0.0432,0.9413,0.0432,1.0584,69.09712696575684,21.996073022002737,14.23791432,0.31833556600556706,0.6472934648724694,13.652299999999999,41.674,34.9676,0.0432,1.1584,25.557,3521.0666
7,1.922251,41.6001,35.2786,6.3215,3521.0666,25.7541,55.49622719999996,55.49622719999996,13.4059,0.109,6.1541,3515.3054,35.3525,25.598253825403425,3442.0886886639714,0.0432,0.9413,0.0432,0.9692,65.31805000259493,20.462859232278767,12.99299828,0.3132803142694221,0.6349551708543462,13.6059,41.6001,35.2786,0.0432,1.0692,25.7541,3521.0666
8,2.137126,41.6881,35.2083,6.479799999999997,3514.3471,25.7541,57.20703439999996,57.20703439999996,13.4743,0.117,6.1541,3515.3054,35.3525,25.598253825403425,3442.0886886639714,0.0432,0.9413,0.0432,1.0059,67.09145662559648,21.05342246029912,13.553798369999999,0.31380183885092305,0.6437812377326623,13.674299999999999,41.6881,35.2083,0.0432,1.1059,25.7541,3514.3471
9,2.379178,41.963,35.5743,6.3887,3514.3471,25.7733,56.987939199999964,56.987939199999964,13.4255,0.116,6.1541,3515.3054,35.3525,25.954836115129215,3455.3146029548707,0.0432,0.9413,0.0432,1.0012,66.12013625642305,20.97279070140788,13.4416106,0.3171921881720342,0.6409071063250386,13.625499999999999,41.963,35.5743,0.0432,1.1012000000000002,25.7733,3514.3471
