,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.594,35.4161,6.177900000000001,3416.3571,25.5921,57.272296799999964,57.272296799999964,13.1644,0.0,6.177900000000001,3416.3571,35.4161,25.567,3258.0,0.0,1.0073,0.0,1.0073,63.3085765990469,20.48974139930161,13.260500120000001,0.32364874555732914,0.6471775246734927,13.3644,41.594,35.4161,0.0,1.1073000000000002,25.5921,3416.3571
1,0.848532,41.6813,35.683,5.9983,3420.1198,25.5921,59.10430559999996,59.10430559999996,13.2152,0.11,6.177900000000001,3416.3571,35.4161,25.567,3258.0,0.0,1.0073,0.0,1.0466,61.30920605319787,21.168449823150308,13.83102832,0.3452735924321461,0.6533793657802031,13.415199999999999,41.6813,35.683,0.0,1.1466,25.5921,3420.1198
2,0.868538,41.4883,35.3452,6.143100000000004,3420.1198,25.6626,55.01608239999996,55.01608239999996,13.2144,0.11,6.177900000000001,3416.3571,35.4161,25.309394705562475,3393.75652696226,0.0,1.0073,0.0,0.9589,63.09450321954809,19.704235891584567,12.67128816,0.3122971873321566,0.6430743231921898,13.414399999999999,41.4883,35.3452,0.0,1.0589,25.6626,3420.1198
3,1.005876,41.2958,35.2499,6.045900000000003,3428.02,25.6626,54.978789599999956,54.978789599999956,13.1806,0.118,6.177900000000001,3416.3571,35.4161,25.309394705562475,3393.75652696226,0.0,1.0073,0.0,0.9581,62.009457712048196,19.73636366003563,12.628332859999999,0.3182798945232661,0.6398510423463286,13.3806,41.2958,35.2499,0.0,1.0581,25.6626,3428.02
4,1.229912,41.3807,35.1986,6.182099999999998,3428.02,25.3926,55.36104079999996,55.36104079999996,13.1581,0.11,6.177900000000001,3416.3571,35.4161,25.309394705562475,3393.75652696226,0.0,1.0073,0.0,0.9663,62.861453946414066,19.87358473651937,12.71467203,0.31614898302321337,0.6397774834570096,13.358099999999999,41.3807,35.1986,0.0,1.0663,25.3926,3428.02
5,1.462946,41.1492,35.0287,6.1205,3420.6081,25.3926,62.13900719999996,62.13900719999996,13.1515,0.117,6.177900000000001,3416.3571,35.4161,25.185062034968023,3374.153661372342,0.0,1.0073,0.0,1.1117,62.18104672055281,22.258518123088127,14.620522549999999,0.3579630658698928,0.6568506703433481,13.3515,41.1492,35.0287,0.0,1.2117,25.3926,3420.6081
6,1.718069,41.1969,35.0623,6.134599999999999,3420.6081,25.649,57.724471999999956,57.724471999999956,13.1251,0.111,6.177900000000001,3416.3571,35.4161,25.185062034968023,3374.153661372342,0.0,1.0073,0.0,1.017,62.96623064733215,20.67720847264668,13.348226699999998,0.3283856800712393,0.6455526488335215,13.325099999999999,41.1969,35.0623,0.0,1.117,25.649,3420.6081
7,1.938097,41.2647,35.0122,6.252499999999998,3420.6081,25.649,58.269879199999956,58.269879199999956,13.1424,0.117,6.177900000000001,3416.3571,35.4161,25.185062034968023,3374.153661372342,0.0,1.0073,0.0,1.0287,64.28165317786592,20.87257619081104,13.51958688,0.32470503104606036,0.6477200876598967,13.3424,41.2647,35.0122,0.0,1.1287,25.649,3420.6081
8,2.17966,41.2934,35.1882,6.105199999999996,3420.6081,25.5027,61.43044399999996,61.43044399999996,13.121,0.109,6.177900000000001,3416.3571,35.4161,25.587857306347292,3378.5179188973593,0.0,1.0073,0.0,1.0965,62.28092806766601,22.004707070430158,14.3871765,0.35331373107547187,0.6538226777548625,13.321,41.2934,35.1882,0.0,1.1965000000000001,25.5027,3420.6081
9,2.426677,41.5274,35.6433,5.8840999999999966,3410.729,25.5027,56.987939199999964,56.987939199999964,13.1139,0.111,6.177900000000001,3416.3571,35.4161,25.587857306347292,3378.5179188973593,0.0,1.0073,0.0,1.0012,59.828163079642614,20.354422434887606,13.12963668,0.3402147314433174,0.6450508100635527,13.313899999999999,41.5274,35.6433,0.0,1.1012000000000002,25.5027,3410.729
