,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.5695,35.4845,6.085000000000001,3300.8208,25.5769,58.38175759999996,58.38175759999996,12.7575,0.0,6.085000000000001,3300.8208,35.4845,25.567,3258.0,0.0,1.0311,0.0,1.0311,62.237394205094326,20.180305206854165,13.15425825,0.32424727070598247,0.6518364373167262,0.2113561857466597,12.9575,41.5695,35.4845,0.0,1.1311,25.5769,3300.8208
1,2.406557,41.6624,35.7209,5.941499999999998,3300.8208,25.5769,60.34895279999996,60.34895279999996,12.7321,0.11,6.085000000000001,3300.8208,35.4845,25.567,3258.0,0.0,1.0311,0.0,1.0733,60.64085039593608,20.8602881530589,13.66536293,0.3439972892342037,0.6550898448637272,0.2253491308379772,12.9321,41.6624,35.7209,0.0,1.1733,25.5769,3300.8208
2,2.426559,41.7455,35.7759,5.9696,3323.958,25.5703,58.79197839999996,58.79197839999996,12.7073,0.113,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0399,60.93775495049891,20.46455097139406,13.214321270000001,0.33582712372679085,0.6457176259802309,0.21684949307263265,12.9073,41.7455,35.7759,0.0,1.1399000000000001,25.5703,3323.958
3,2.446576,41.9905,36.0368,5.953699999999998,3323.958,25.5703,58.367772799999955,58.367772799999955,12.7361,0.11,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0308,60.76090131933164,20.316891760736322,13.12837188,0.3343744302600119,0.6461801359483249,0.21606611480305818,12.9361,41.9905,36.0368,0.0,1.1308,25.5703,3323.958
4,2.466583,41.8353,35.8938,5.941499999999998,3333.9316,25.5627,60.06459519999996,60.06459519999996,12.7422,0.112,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0672,60.607183294933904,20.970262045630545,13.598475839999999,0.34600291426814134,0.6484647550140384,0.22437069503503362,12.9422,41.8353,35.8938,0.0,1.1672,25.5627,3333.9316
5,2.486587,41.7369,35.8706,5.866299999999995,3333.9316,25.5627,57.22101919999996,57.22101919999996,12.6805,0.11,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0062,59.7709920860945,19.977488621151263,12.7591191,0.3342338469533108,0.6386748275502067,0.21346674456434794,12.8805,41.7369,35.8706,0.0,1.1062,25.5627,3333.9316
6,2.584616,42.0302,36.0019,6.0283000000000015,3323.8164,25.6657,57.78041119999996,57.78041119999996,12.6792,0.12,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0182,61.82045547431885,20.111583759707994,12.90996144,0.32532247789831714,0.6419166980704977,0.2088299308206002,12.879199999999999,42.0302,36.0019,0.0,1.1182,25.6657,3323.8164
7,2.82672,41.8634,35.801,6.062399999999997,3323.8164,25.6657,57.02989359999996,57.02989359999996,12.7459,0.11,6.085000000000001,3300.8208,35.4845,25.556912984829108,3301.9932962928315,0.0,1.0311,0.0,1.0021,62.20116042649302,19.850351669765114,12.772666390000001,0.31913153281478585,0.643447864425222,0.20534450326042158,12.9459,41.8634,35.801,0.0,1.1021,25.6657,3323.8164
8,3.055582,41.6514,35.7228,5.928600000000003,3340.0273,25.5916,60.00865599999997,60.00865599999997,12.7974,0.123,6.085000000000001,3300.8208,35.4845,25.492860723285375,3301.1868889519615,0.0,1.0311,0.0,1.066,60.532098414041336,20.989038014730475,13.642028400000001,0.34674228326209405,0.6499596784962601,0.2253685029500898,12.997399999999999,41.6514,35.7228,0.0,1.1660000000000001,25.5916,3340.0273
9,3.342429,41.605,35.4869,6.118099999999998,3340.0273,25.5916,59.20219919999996,59.20219919999996,12.738,0.11,6.085000000000001,3300.8208,35.4845,25.492860723285375,3301.1868889519615,0.0,1.0311,0.0,1.0487,62.641638036201954,20.706966167754963,13.358340599999998,0.3305623354834361,0.6451133638689043,0.21325018021208073,12.937999999999999,41.605,35.4869,0.0,1.1487,25.5916,3340.0273
