,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0.0,41.8689,35.4674,6.401499999999999,3493.4497,25.1268,57.081171199999964,57.081171199999964,13.7585,0.0,6.401499999999999,3493.4497,35.4674,25.567,3258.0,0.0,1.0032,0.0,1.0032,64.60147560842107,20.882187330837993,13.8025272,0.32324629018405754,0.6609713331906074,13.958499999999999,41.8689,35.4674,0.0,1.1032000000000002,25.1268,3493.4497
1,1.929832,42.0558,35.7606,6.295200000000001,3513.6884,25.7806,53.77609679999996,53.77609679999996,13.8119,0.12,6.401499999999999,3493.4497,35.4674,25.567,3258.0,0.0,1.0032,0.0,0.9323,65.09032244914245,19.787054011304676,12.87683437,0.3039937930368229,0.6507706686727215,14.011899999999999,42.0558,35.7606,0.0,1.0323,25.7806,3513.6884
2,1.949821,41.6007,35.4002,6.200500000000005,3513.6884,25.7806,56.139527999999956,56.139527999999956,13.9277,0.108,6.401499999999999,3493.4497,35.4674,27.048891604817882,3518.772941914678,0.0,1.0032,0.0,0.983,64.0283236317458,20.65668463883662,13.6909291,0.32261792074460705,0.662784437065941,14.127699999999999,41.6007,35.4002,0.0,1.083,25.7806,3513.6884
3,2.16757,41.5549,35.2829,6.272000000000006,3534.6096,25.8451,53.16076559999996,53.16076559999996,13.8692,0.118,6.401499999999999,3493.4497,35.4674,27.048891604817882,3518.772941914678,0.0,1.0032,0.0,0.9191,64.99234689664239,19.677109254669894,12.74718172,0.30276040478985144,0.6478178046897188,14.069199999999999,41.5549,35.2829,0.0,1.0191000000000001,25.8451,3534.6096
4,2.370168,41.6092,35.245,6.364200000000004,3534.6096,25.8451,53.85534399999996,53.85534399999996,13.9512,0.109,6.401499999999999,3493.4497,35.4674,27.048891604817882,3518.772941914678,0.0,1.0032,0.0,0.934,66.02889669492475,19.934202900867,13.0304208,0.3019011962742552,0.6536715245049135,14.1512,41.6092,35.245,0.0,1.034,25.8451,3534.6096
5,2.598363,41.9862,35.7961,6.190099999999994,3533.4023,25.7671,56.35862319999996,56.35862319999996,13.839,0.119,6.401499999999999,3493.4497,35.4674,26.218641025568093,3518.9583657323797,0.0,1.0032,0.0,0.9877,63.87822707472426,20.853649986561003,13.6687803,0.3264594360480068,0.655462248038533,14.039,41.9862,35.7961,0.0,1.0877000000000001,25.7671,3533.4023
6,2.855322,41.7394,35.292,6.447400000000002,3533.4023,25.7671,51.98138079999996,51.98138079999996,13.9446,0.108,6.401499999999999,3493.4497,35.4674,26.218641025568093,3518.9583657323797,0.0,1.0032,0.0,0.8938,66.76216801738663,19.233995784008833,12.46368348,0.2880972316387298,0.64800281854914,14.144599999999999,41.7394,35.292,0.0,0.9938,25.7671,3533.4023
7,3.073382,41.7412,35.4637,6.277499999999996,3530.8952,26.1255,54.88089599999996,54.88089599999996,13.8953,0.118,6.401499999999999,3493.4497,35.4674,26.218641025568093,3518.9583657323797,0.0,1.0032,0.0,0.956,65.75996931420468,20.292457177488526,13.2839068,0.3085837385435822,0.6546228819808242,14.0953,41.7412,35.4637,0.0,1.056,26.1255,3530.8952
8,3.310988,41.9899,35.5517,6.438200000000002,3530.8952,26.1255,54.605861599999955,54.605861599999955,13.9028,0.109,6.401499999999999,3493.4497,35.4674,26.166748321603723,3532.3129182274156,0.0,1.0032,0.0,0.9501,67.5862247481964,20.19076197585887,13.209050279999998,0.29874078706249496,0.6542125698769283,14.102799999999998,41.9899,35.5517,0.0,1.0501,26.1255,3530.8952
9,3.583644,41.6575,35.3159,6.3416,3530.6503,25.7596,55.97637199999996,55.97637199999996,13.9242,0.115,6.401499999999999,3493.4497,35.4674,26.166748321603723,3532.3129182274156,0.0,1.0032,0.0,0.9795,65.55722400760502,20.69607877387451,13.638753900000001,0.31569486181223366,0.6590018355175932,14.1242,41.6575,35.3159,0.0,1.0795000000000001,25.7596,3530.6503
