,t (sec),PT1 (psi),PT2 (psi),DP (psi),w (RPM),q (GPM),Tm (mNm),Te (mNm),V (V),dt (sec),DP_ref (psi),w_ref (RPM),PT2_ref (psi),q_pred (GPM),w_pred (RPM),g_des (deg),I_des (A),g (deg),I (A),P_f (W),P_t (W),P_e (W),eff_t (),eff_g (),eff (),V_measured (V),PT1_measured (psi),PT2_measured (psi),g_measured (deg),I_measured (A),q_measured (GPM),w_measured (RPM)
0,0,41.8267,35.5883,6.2384,3374.8178,25.7972,53.692188,53.692188,13.6481,0,6.2384,3374.8178,35.5883,25.567,3258,0,0.9305,0,0.9305,64.4948486352,18.9753611644,12.69955705,0.2942151438,0.6692656303,0.1969080836,13.8481,41.8267,35.5883,0,1.0305,25.7972,3374.8178
1,2.446757,41.7504,35.4607,6.2897,3374.8178,25.7972,53.6782032,53.6782032,13.571,0.11,6.2384,3374.8178,35.5883,25.567,3258,0,0.9305,0,0.9302,65.0705151514,18.9704187949,12.6237442,0.2915363241,0.6654436223,0.1940009876,13.771,41.7504,35.4607,0,1.0302,25.7972,3374.8178
2,2.466759,41.597,35.3495,6.2475,3468.4458,25.6701,51.6131144,51.6131144,13.5393,0.122,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.8859,64.278702694,18.7466467355,11.99446587,0.2916463144,0.6398192722,0.1866009326,13.7393,41.597,35.3495,0,0.9859,25.6701,3468.4458
3,2.486778,41.6575,35.504,6.1535,3468.4458,25.6701,50.452376,50.452376,13.5752,0.109,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.861,63.2290721801,18.3250493762,11.6882472,0.2898199949,0.6378289608,0.1848555862,13.7752,41.6575,35.504,0,0.961,25.6701,3468.4458
4,2.506794,41.7308,35.3507,6.3801,3469.0102,25.8873,53.0488872,53.0488872,13.6918,0.118,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.9167,66.315755106,19.2712760503,12.55127306,0.2905987577,0.6512943423,0.1892653268,13.8918,41.7308,35.3507,0,1.0167,25.8873,3469.0102
5,2.526805,41.9428,35.6549,6.2879,3469.0102,25.8873,54.787664,54.787664,13.5869,0.11,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.954,65.2775128244,19.9029282766,12.9619026,0.3048971601,0.6512560574,0.1985661224,13.7869,41.9428,35.6549,0,1.054,25.8873,3469.0102
6,2.58892,41.6911,35.3873,6.3038,3468.416,25.8532,56.23276,56.23276,13.6279,0.112,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.985,65.3703364084,20.4243948796,13.4234815,0.3124413305,0.6572278679,0.2053451495,13.8279,41.6911,35.3873,0,1.085,25.8532,3468.416
7,2.826474,41.6013,35.5663,6.035,3468.416,25.8532,55.0720216,55.0720216,13.5581,0.11,6.2384,3374.8178,35.5883,25.1183260633,3431.1172911634,0,0.9305,0,0.9601,62.3474306785,20.0028011426,13.01713181,0.3208279944,0.6507654462,0.2087837729,13.7581,41.6013,35.5663,0,1.0601,25.8532,3468.416
8,3.055912,41.861,35.5022,6.3588,3465.8039,25.4703,54.0324848,54.0324848,13.6004,0.12,6.2384,3374.8178,35.5883,25.2379734807,3469.4479176379,0,0.9305,0,0.9378,65.0115314428,19.6104492782,12.75445512,0.3016457057,0.6503907656,0.1961875814,13.8004,41.861,35.5022,0,1.0378,25.4703,3465.8039
9,3.310685,41.6777,35.4723,6.2054,3465.8039,25.4703,54.4007512,54.4007512,13.6022,0.109,6.2384,3374.8178,35.5883,25.2379734807,3469.4479176379,0,0.9305,0,0.9457,63.3119559761,19.7441071987,12.86360054,0.3118543235,0.6515159389,0.2031780624,13.8022,41.6777,35.4723,0,1.0457,25.4703,3465.8039
