label,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM),GV,DP,Power
1057,0,38.1934,31.679,15.1023,1.0466,27.3205,0,6.5144,15.80606718
1058,0.638,38.525,32.0133,15.1162,1.0405,27.277,0,6.5117,15.7284061
1059,1.277,38.238,31.5534,15.0428,1.0375,27.8388,0,6.6846,15.606905
1060,1.916,38.335,31.8385,15.0459,1.0315,27.4925,0,6.4965,15.51984585
1061,2.556,38.2574,31.7622,15.1535,1.0522,27.1472,0,6.4952,15.9445127
1062,3.197,38.3343,31.7545,15.1633,1.0329,27.1042,0,6.5798,15.66217257
1063,3.838,38.3621,31.9404,15.0285,1.0448,27.0612,0,6.4217,15.7017768
1064,4.48,38.2574,31.7028,15.228,1.0355,27.0183,0,6.5546,15.768594
1065,5.124,38.2392,31.5824,14.9826,1.0333,27.5749,0,6.6568,15.48152058
1066,5.768,38.3169,31.6298,15.0843,1.0471,26.9327,0,6.6871,15.79477053
1067,6.412,38.3379,31.6162,15.1003,1.0376,27.4876,0,6.7217,15.66807128
1068,7.057,38.1651,31.6637,15.1627,1.0193,27.4441,0,6.5014,15.45534011
1069,7.702,38.4112,31.808,15.0851,1.0426,27.4008,0,6.6032,15.72772526
1070,8.348,38.3763,31.8313,15.0847,1.0312,27.3575,0,6.545,15.55534264
1071,8.994,38.3505,31.8878,15.12,1.0443,27.3143,0,6.4627,15.789816
1072,9.641,38.3738,31.8419,15.107,1.0343,27.2713,0,6.5319,15.6251701
1073,10.29,38.1598,31.5229,15.1865,1.0284,27.2282,0,6.6369,15.6177966
1074,10.938,38.2681,31.7707,15.0136,1.0522,27.1853,0,6.4974,15.79730992
1075,11.587,38.2803,31.7336,15.0795,1.0497,27.7326,0,6.5467,15.82895115
1076,12.237,38.3059,31.6773,15.1272,1.0398,27.3943,0,6.6286,15.72926256
1077,12.888,38.2803,31.7791,15.0416,1.0346,27.3512,0,6.5012,15.56203936
1078,13.539,38.3641,31.7707,15.0907,1.0356,27.3082,0,6.5934,15.62792892
1079,14.192,38.392,31.743,15.0055,1.0388,26.972,0,6.649,15.5877134
1080,14.845,38.3931,31.7809,15.2136,1.0281,27.5151,0,6.6122,15.64110216
1081,15.498,38.2471,31.6145,14.9546,1.0265,27.4719,0,6.6326,15.3508969
1082,16.152,38.4199,31.6509,15.1557,1.0471,27.4288,0,6.769,15.86953347
1083,16.806,38.3466,31.623,15.1099,1.0456,27.3858,0,6.7236,15.79891144
1084,17.461,38.2244,31.6841,15.0119,1.0365,27.3429,0,6.5403,15.55983435
1085,18.117,38.3466,31.7129,14.9726,1.0536,27.0096,0,6.6337,15.77513136
1086,18.775,38.3134,31.6824,15.1051,1.0311,27.5472,0,6.631,15.57486861
1087,19.432,38.2646,31.7825,15.0605,1.0308,27.7936,0,6.4821,15.5243634
1088,20.09,38.3408,31.7758,15.0959,1.0376,27.4611,0,6.565,15.66350584
1089,20.748,38.3528,31.7046,15.0404,1.0579,27.7068,0,6.6482,15.91123916
1090,21.407,38.2977,31.8501,15.048,1.0264,27.6635,0,6.4476,15.4452672
1091,22.067,38.3152,31.7231,15.1531,1.0356,27.6203,0,6.5921,15.69255036
1092,22.727,38.3763,31.7355,15.2118,1.0351,27.5773,0,6.6408,15.74573418
1093,23.389,38.1668,31.6468,15.1949,1.0352,27.2474,0,6.52,15.72976048
1094,24.05,38.2384,31.711,15.119,1.0264,27.4914,0,6.5274,15.5181416
1095,24.713,38.2523,31.6739,15.1717,1.0417,27.1626,0,6.5784,15.80435989
1096,25.376,38.4286,31.7185,15.1254,1.0124,27.4058,0,6.7101,15.31295496
1097,26.039,38.4286,31.8233,15.1653,1.0383,27.3632,0,6.6053,15.74613099
1098,26.703,38.333,31.6587,15.0117,1.041,27.3207,0,6.6743,15.6271797
1099,27.368,38.3528,31.7253,15.134,1.0461,27.2782,0,6.6275,15.8316774
1100,28.034,38.3431,31.6281,15.0734,1.0372,27.2358,0,6.715,15.63413048
1101,28.7,38.4007,31.7035,15.0109,1.0394,27.7601,0,6.6972,15.60232946
1102,29.367,38.3361,31.6128,15.0831,1.0429,27.1514,0,6.7233,15.73016499
1103,30.034,38.3757,31.6943,15.0831,1.0426,27.1093,0,6.6814,15.72564006
1104,30.702,38.2541,31.8031,14.9913,1.0592,27.6313,0,6.451,15.87878496
1105,31.371,38.3396,31.8131,15.1539,1.0499,27.5885,0,6.5265,15.91007961
1106,32.04,38.3194,31.7741,15.1042,1.0403,27.2647,0,6.5453,15.71289926
1107,32.71,38.3047,31.7937,15.0161,1.0302,27.5032,0,6.511,15.46958622
1108,33.381,38.2576,31.825,15.0802,1.0385,26.9003,0,6.4326,15.6607877
1109,34.053,38.3798,31.7588,14.9917,1.0144,27.4182,0,6.621,15.20758048
1110,34.725,38.399,31.6875,15.206,1.0106,27.3759,0,6.7115,15.3671836
1111,35.398,38.2157,31.7693,15.194,1.0277,27.3337,0,6.4464,15.6148738
1112,36.071,38.3518,31.791,15.103,1.0554,27.2915,0,6.5608,15.9397062
1113,36.745,38.4077,31.808,15.0087,1.0397,27.2495,0,6.5997,15.60454539
1114,37.421,38.4339,31.7758,14.9866,1.0527,27.2074,0,6.6581,15.77639382
1115,38.097,38.2031,31.6892,15.0572,1.0266,27.7199,0,6.5139,15.45772152
1116,38.773,38.3728,31.7449,15.1115,1.0394,27.6772,0,6.6279,15.7068931
1117,39.45,38.4251,31.7148,15.1511,1.0387,27.3583,0,6.7103,15.73744757
1118,40.128,38.3099,31.696,15.0241,1.027,27.5921,0,6.6139,15.4297507
1119,40.806,38.3204,31.8453,15.1084,1.0411,27.5498,0,6.4751,15.72935524
1120,41.485,38.3222,31.6824,15.0711,1.038,27.5074,0,6.6398,15.6438018
1121,42.166,38.3675,31.8674,15.054,1.0227,27.1905,0,6.5001,15.3957258
1122,42.846,38.1738,31.6375,15.1115,1.0332,27.423,0,6.5363,15.6132018
1123,43.528,38.5299,31.8793,15.1119,1.0432,27.6547,0,6.6506,15.76473408
1124,44.211,38.385,31.7435,15.0508,1.051,27.3389,0,6.6415,15.8183908
1125,44.894,38.1843,31.6587,15.0815,1.0324,27.297,0,6.5256,15.5701406
1126,45.577,38.5229,31.8182,15.1322,1.0331,27.8003,0,6.7047,15.63307582
1127,46.261,38.3396,31.7537,15.0352,1.0321,27.7577,0,6.5859,15.51782992
1128,46.945,38.3344,31.7825,15.1597,1.0425,27.7153,0,6.5519,15.80398725
1129,47.63,38.1406,31.5755,15.157,1.0427,27.4016,0,6.5651,15.8042039
