,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,38.189,34.59772273,27.69321364,62.79655,15.99797727,1.020695455,3975.913814,27.63258636,6.904509091,0
1,83.357,34.55218421,27.69043684,66.50587895,15.46972105,1.122868421,3914.492974,27.49814211,6.861747368,0
2,94.583,34.47692778,27.70479444,70.8401,14.84989444,1.216788889,3819.424239,27.66929444,6.772133333,0
3,104.777,34.38321176,27.81974118,76.17172353,14.25395882,1.310164706,3693.633024,27.86422941,6.563470588,0
4,114.45,34.30008824,27.87502353,81.45778824,13.70655882,1.415005882,3606.326424,27.52776471,6.425064706,0
5,267.749,36.54825,26.412675,80.77506667,18.99605833,1.445891667,4766.649492,25.95330833,10.135575,8.76
6,317.239,33.98151818,28.14711818,80.1451,12.48582727,1.447154545,3309.826,28.55039091,5.8344,0
7,363.604,36.36447,26.42817,84.46375,18.44166,1.53773,4592.49259,26.44925,9.9363,8.76
8,368.659,36.37918,26.53518,87.35942,18.15775,1.58576,4636.04034,26.4506,9.844,8.76
9,382.964,36.28608,26.54485,93.34035,17.27359,1.72454,4408.08297,26.87649,9.74123,8.76
10,392.942,36.20131,26.61674,97.60076,16.73051,1.82174,4348.01245,27.11059,9.58457,8.76
11,403.108,36.11336,26.63256,102.58321,16.21559,1.91567,4270.47765,26.80276,9.4808,8.76
12,418.423,36.02228,26.70294,107.89348,15.69068,2.00593,4133.43955,26.66473,9.31934,8.76
13,451.582,35.95835556,26.71254444,111.3230333,15.0816,2.1075,4021.015233,26.8689,9.245811111,8.76
14,460.868,35.93834444,26.80081111,115.4359444,14.43346667,2.22,3912.818333,26.63292222,9.137533333,8.76
15,470.322,35.85361111,26.79453333,119.4901222,13.79544444,2.318,3816.433544,27.25064444,9.059077778,8.76
16,480.626,35.81275556,26.874,124.7215111,13.27545556,2.418,3699.448167,26.92434444,8.938755556,8.76
17,560.479,37.62355,25.5807875,126.224175,15.99885,2.418,4395.123363,26.884325,12.0427625,12.26
18,813.319,37.60611667,25.6329,128.6464,15.60046667,2.518,4311.70535,26.95133333,11.97321667,12.26
19,823.52,37.51405,25.62678333,131.3353833,15.13175,2.62,4163.475467,26.49913333,11.88726667,12.26
20,832.818,37.43923333,25.77326667,136.2436833,14.614,2.72,4114.486517,27.31336667,11.66596667,12.26
21,842.205,37.39085,25.75883333,141.58195,14.2676,2.818,4056.725183,26.76783333,11.63201667,12.26
22,851.686,37.37521667,25.84046667,147.2097833,13.78536667,2.918,3967.10615,26.78608333,11.53475,12.26
23,861.279,37.21551667,25.8598,151.1016167,13.16391667,3.01,3882.094317,25.9856,11.35571667,12.26
