,Unnamed: 0,Unnamed: 0.1,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,0,1903,0.0,36.8857,27.35,139.3094,11.9367,2.6133,3507.6779,25.2145,9.5357,12.259459459459459
1,1,1904,0.28300000000000003,37.0304,27.4228,138.9241,11.8769,2.6133,3595.5415,26.3319,9.6076,12.259459459459459
2,2,1905,0.556,37.0095,27.4194,139.798,11.7861,3.049,3569.3039,25.1034,9.5901,12.259459459459459
3,3,1906,0.835,37.0549,27.525,134.2262,11.9924,3.0909,3706.7546,26.4196,9.5299,12.259459459459459
4,4,1907,1.103,36.7546,27.0976,141.4663,11.8273,2.9848,3777.7031,26.4887,9.657,12.259459459459459
5,5,1908,1.371,36.9135,27.5647,135.549,11.669,2.8857,3488.3720000000008,26.0555,9.3488,12.259459459459459
6,6,1909,1.649,37.0148,27.2807,137.3484,11.8722,3.1161,3586.3715,25.6425,9.7341,12.259459459459459
7,7,1910,1.926,36.8208,27.2608,139.6155,11.9595,2.982,3679.4768,26.1442,9.56,12.259459459459459
8,8,1911,2.198,36.9731,27.3175,137.5562,11.9196,3.0469,3602.4497,25.3476,9.6556,12.259459459459459
9,9,1912,2.478,37.0549,27.0833,141.9094,11.8273,2.9219,3752.3452,26.4618,9.9716,12.259459459459459
10,10,1913,2.748,36.7745,27.1717,136.4825,11.78,2.9359,3561.6762,25.9988,9.6028,12.259459459459459
11,11,1914,3.025,36.8622,27.3005,137.3998,11.8958,3.0097,3643.7246,25.6714,9.5617,12.259459459459459
12,12,1915,3.302,37.1678,27.5415,140.4497,11.9487,2.7678,3738.9389,27.2872,9.6263,12.259459459459459
13,13,1916,3.57,36.9501,27.416,135.9899,11.9487,2.8616,3801.4782,26.7039,9.5341,12.259459459459459
14,14,1917,3.838,36.8515,27.5019,141.1535,11.8226,3.0199,3545.6801,25.5062,9.3496,12.259459459459459
15,15,1918,4.119,36.9841,27.3863,137.0858,11.9493,2.8384,3772.1613,27.1027,9.5978,12.259459459459459
16,16,1919,4.387,37.0131,27.255,141.9094,12.0147,3.0255,3549.8757,25.7738,9.7581,12.259459459459459
17,17,1920,4.667,36.9738,27.3665,138.2526,11.9304,3.1021,3729.9516,27.3916,9.6073,12.259459459459459
18,18,1921,4.935,37.0057,27.3345,140.5612,11.8864,2.8575,3814.2058,26.6065,9.6712,12.259459459459459
19,19,1922,5.204,37.0723,27.2972,135.2623,11.7561,2.9731,3643.8723,26.2684,9.7751,12.259459459459459
