,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
311,100.12,35.0526,28.9583,77.9679,12.7673,1.4732,3612.8618,27.8783,6.0943,0
312,100.487,34.8808,28.7023,72.1277,12.8988,1.5262,3470.3479,27.4918,6.1785,0
313,100.859,35.0358,28.6115,79.1789,12.9948,1.5221,3545.5405,26.7666,6.4243,0
314,101.232,35.0358,28.704,72.6864,12.8846,1.5221,3347.3425,27.3311,6.3318,0
315,101.61,35.1136,28.628,72.4155,13.1997,1.5111,3566.8991,26.4628,6.4856,0
316,101.985,34.9729,28.9352,76.4841,12.8956,1.5004,3396.2265,25.9166,6.0377,0
317,102.367,35.0829,28.648,74.552,13.0444,1.5057,3491.7556,27.0585,6.4349,0
318,102.743,35.0824,28.8551,76.6634,12.8035,1.5098,3326.6801,27.8996,6.2273,0
319,103.12,35.1003,28.76,76.3245,12.8114,1.4931,3589.9482,27.2861,6.3403,0
320,103.494,35.0544,28.8517,71.4317,13.0342,1.5288,3331.4824,27.4194,6.2027,0
321,103.874,34.9264,28.8427,72.2487,12.8647,1.5106,3608.8056,26.411,6.0837,0
322,104.25,35.158,28.7906,74.4998,12.8279,1.5028,3489.3186,27.3649,6.3674,0
323,104.627,35.08,28.7634,78.6706,13.0532,1.5223,3394.561,26.7489,6.3166,0
324,105.009,34.9879,28.77,76.5634,13.035,1.5,3469.9462,28.4091,6.2179,0
325,105.382,35.027,28.628,74.0271,12.8949,1.5124,3549.8757,27.4081,6.399,0
326,105.758,34.9916,28.8958,71.1691,12.9752,1.5174,3405.479,26.103,6.0958,0
327,106.143,35.2548,28.6214,74.8749,12.9076,1.5169,3598.9921,27.3158,6.6334,0
328,106.519,34.8799,28.889,72.6813,13.1414,1.5083,3436.6884,25.9988,5.9909,0
329,106.905,35.2463,28.8988,75.6919,12.702,1.5274,3607.9375,27.8634,6.3475,0
330,107.278,34.9357,28.8449,73.0662,12.9496,1.499,3427.3962,26.8691,6.0908,0
331,107.662,34.9833,28.7023,73.7439,12.8137,1.5075,3521.2644,25.6831,6.281,0
332,108.048,35.1173,28.8262,76.2463,12.8744,1.5078,3424.6574,26.7617,6.2911,0
333,108.433,34.9125,28.7469,76.0614,12.9618,1.5275,3328.6486,26.6036,6.1656,0
334,108.823,34.9984,28.6752,73.8244,13.1098,1.5049,3334.4448,25.8734,6.3232,0
335,109.214,34.9913,28.5666,74.4925,12.8315,1.5151,3409.9951,26.4964,6.4247,0
336,109.601,35.0196,28.675,73.9524,12.7821,1.5317,3326.434,27.6083,6.3446,0
337,109.987,35.046,28.6983,77.0653,12.8571,1.5292,3536.3457,26.5659,6.3477,0
338,110.37,34.9045,28.5317,76.7677,12.8825,1.5347,3355.2043,27.1956,6.3728,0
339,110.757,35.0739,28.846,73.8686,13.1066,1.5501,3576.2536,25.8213,6.2279,0
340,111.143,35.2342,28.7535,76.5852,12.9213,1.5191,3482.1635,26.9127,6.4807,0
341,111.528,35.154,28.648,78.2014,12.7158,1.5305,3339.6416,25.912,6.506,0
342,111.922,35.121,28.6247,76.352,13.1058,1.5448,3509.1823,26.5697,6.4963,0
343,112.308,35.0409,28.6148,77.0918,13.0137,1.5221,3423.2246,27.3014,6.4261,0
344,112.695,35.0579,28.912,72.3363,12.9468,1.5244,3336.9174,27.3025,6.1459,0
345,113.085,34.9324,28.8381,78.071,12.8925,1.5266,3409.2202,27.9799,6.0943,0
346,113.471,35.051,28.5521,72.3627,13.155,1.5238,3594.1057,27.6816,6.4989,0
347,113.852,35.0579,28.7736,71.2936,12.9618,1.5146,3363.6057,26.8573,6.2843,0
348,114.244,35.0976,28.8585,78.2306,12.9933,1.5398,3465.2702,26.1301,6.2391,0
349,114.636,35.1212,28.4938,73.2486,12.876,1.5239,3529.8271,27.5042,6.6274,0
350,115.02,35.1065,28.8393,79.7133,12.9456,1.509,3408.1872,26.7568,6.2672,0
351,115.412,35.1132,28.6313,73.7101,12.8279,1.5149,3476.2456,27.2322,6.4819,0
352,115.801,34.9885,28.7838,77.0023,12.8736,1.5206,3484.5903,25.912,6.2047,0
353,116.195,35.0867,28.889,76.2724,13.1851,1.5378,3365.4924,27.6009,6.1977,0
354,116.586,35.1377,28.7403,74.1328,12.8569,1.5108,3422.1833,26.0676,6.3974,0
355,116.982,35.0335,28.755,75.4643,12.8024,1.5144,3326.5568,27.2719,6.2785,0
356,117.376,34.9843,28.9187,79.7601,13.0255,1.4948,3499.0864,26.6104,6.0656,0
357,117.768,35.0385,28.5802,73.4832,13.0791,1.5122,3617.945,25.5473,6.4583,0
358,118.162,35.0744,28.6039,72.0756,12.7629,1.5041,3497.0468,26.2108,6.4705,0
359,118.557,35.0284,28.6479,75.6919,12.9468,1.5139,3325.4506,27.3158,6.3805,0
360,118.952,35.2002,28.813,77.673,13.0137,1.5331,3504.8093,26.3405,6.3872,0
361,119.346,34.9837,28.7295,73.796,12.7909,1.5198,3399.3049,27.6281,6.2542,0
