,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1319,809.402,39.5352,28.5752,92.5644,18.9382,1.9666,4994.4506,27.7521,10.96,10.95
1320,810.451,39.4754,28.2218,96.1401,19.2129,1.9686,4879.1064,26.8257,11.2536,10.95
1321,811.506,39.3903,28.4071,90.982,19.0366,1.9653,5182.2421,27.5156,10.9832,10.95
1322,812.555,39.5429,28.4134,94.3369,19.1499,1.9692,5151.9833,26.0955,11.1295,10.95
1323,813.612,39.5849,28.1932,94.2327,19.0287,1.9703,5119.163,26.6971,11.3917,10.95
1324,814.667,39.5276,28.4827,97.8299,18.9838,1.974,5054.476,26.2854,11.0449,10.95
1325,815.727,39.3668,28.4851,92.7912,19.2798,1.9735,5213.7641,27.3619,10.8817,10.95
1326,816.78,39.2757,28.4266,96.709,19.1909,1.9675,4933.6699,27.8411,10.8491,10.95
1327,817.836,39.5201,28.453,95.9024,19.1846,1.9739,4935.8339,28.5548,11.0671,10.95
1328,818.891,39.5091,28.2615,92.3357,19.2869,1.961,4792.0771,26.0387,11.2476,10.95
1329,819.96,39.3642,28.439,94.7279,18.9311,1.9616,5117.416,26.7529,10.9252,10.95
1330,821.021,39.3162,28.387,90.3401,19.1295,1.9746,4959.497,26.5978,10.9292,10.95
1331,822.087,39.5908,28.4749,91.2738,19.1704,1.9761,5215.5771,26.2382,11.1159,10.95
1332,823.152,39.3136,28.4444,93.5254,19.3318,1.9673,4974.2993,27.9434,10.8692,10.95
1333,824.214,39.5122,28.2611,93.2942,19.3641,1.9755,5000.8334,26.275,11.2511,10.95
1334,825.285,39.427,28.3936,96.0593,19.1665,1.982,5066.1416,27.5177,11.0334,10.95
1335,826.35,39.2446,28.1389,94.1579,18.9334,1.9728,5168.2553,26.1676,11.1057,10.95
1336,827.42,39.4652,28.2516,94.4544,19.2633,1.9737,4811.5473,27.6847,11.2136,10.95
1337,828.49,39.3295,28.312,95.1839,19.1255,1.9787,4833.7719,26.0825,11.0175,10.95
1338,829.568,39.4254,28.3143,94.1587,19.0909,1.9739,4978.7021,26.1535,11.1111,10.95
1339,830.643,39.5477,28.2102,95.0147,19.0279,1.9665,4888.9125,26.2637,11.3375,10.95
1340,831.72,39.371,28.5389,95.8231,19.0247,1.9673,4991.6806,27.4949,10.8321,10.95
1341,832.792,39.5441,28.1864,95.7091,18.9421,2.0396,4759.3867,27.6658,11.3577,10.95
1342,833.868,39.3246,28.5401,96.9327,18.3186,2.0604,5081.0136,27.7163,10.7845,10.95
1343,834.94,39.5074,28.2,97.2043,18.3737,2.0556,4982.8369,27.2821,11.3074,10.95
1344,836.016,39.4415,28.3222,97.5432,18.5776,2.0636,4818.5034,28.2617,11.1193,10.95
1345,837.093,39.2618,28.5058,101.3183,18.5445,2.0631,5023.1625,27.143,10.756,10.95
1346,838.173,39.3486,28.7238,99.6776,18.55,2.0616,5043.4296,27.4463,10.6248,10.95
1347,839.251,39.3379,28.4992,96.9856,18.3327,2.0611,4952.4018,27.3814,10.8387,10.95
1348,840.332,39.1147,28.5598,100.8016,18.3626,2.0687,5112.4746,27.7237,10.5549,10.95
1349,841.411,39.3782,28.3638,95.5341,18.3988,2.0734,5093.955,27.2332,11.0144,10.95
1350,842.492,39.3089,28.2714,101.1926,18.4146,2.066,4705.8823,26.3158,11.0375,10.95
1351,843.585,39.2684,28.4138,96.2138,18.5351,2.167,4620.123,27.7902,10.8546,10.95
1352,844.675,39.1496,28.5598,105.5719,17.8005,2.1691,4948.8613,28.158,10.5898,10.95
1353,845.759,39.3113,28.5564,104.9723,18.0183,2.1744,4999.4443,27.4566,10.7549,10.95
1354,846.846,39.0681,28.1393,102.3134,18.0131,2.174,4797.4414,27.1208,10.9288,10.95
1355,847.938,39.2565,28.5257,107.06,17.9162,2.1821,4905.7011,27.2311,10.7308,10.95
1356,849.029,39.3088,28.4817,101.2447,17.8037,2.1746,4653.3271,26.4762,10.8271,10.95
1357,850.129,39.3657,28.4695,101.7675,17.7667,2.1679,4818.7607,27.4112,10.8962,10.95
1358,851.224,39.1733,28.5752,100.0569,17.9194,2.1678,4668.0498,27.0294,10.5981,10.95
1359,852.324,39.285,28.648,101.1665,17.9753,2.1757,4940.9824,27.2037,10.637,10.95
1360,853.421,39.1394,28.6974,102.1902,17.9658,2.2333,4488.5541,26.623,10.442,10.95
1361,854.528,39.1644,28.6181,105.8889,17.3612,2.2763,4745.3339,27.6648,10.5463,10.95
1362,855.627,39.0777,28.5158,105.4154,17.2888,2.2736,4586.4545,27.4928,10.5619,10.95
1363,856.731,39.131,28.3969,111.2035,17.2431,2.2757,4556.0395,27.5146,10.7341,10.95
1364,857.836,39.0604,28.4893,104.3171,17.273,2.2743,4653.8085,26.6464,10.5711,10.95
