,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,78.926,36.22820769,30.58350769,138.6313385,3.648484615,3.018946154,1816.484469,27.31895385,5.6447,0
1,106.767,36.240275,30.62764167,132.5906167,4.41145,2.914741667,1948.24855,27.73476667,5.612633333,0
2,121.12,36.21298333,30.58333333,128.3990917,5.15545,2.814408333,2112.785342,28.03064167,5.62965,0
3,130.336,36.22908333,30.470125,124.414625,5.909708333,2.714475,2285.440925,27.61968333,5.758958333,0
4,139.491,36.23179167,30.42854167,119.5010833,6.651925,2.625925,2419.085292,27.77021667,5.80325,0
5,147.742,36.26830833,30.47015833,115.8783,7.339583333,2.521658333,2517.222892,28.16695833,5.79815,0
6,155.086,36.30735,30.39716667,111.808375,8.128483333,2.427025,2679.558742,27.776925,5.910183333,0
7,163.384,36.306325,30.310925,106.1075,8.759516667,2.331066667,2798.102008,27.65294167,5.9954,0
8,172.646,36.398225,30.31161667,102.692475,9.430741667,2.228775,2933.09265,27.79024167,6.086608333,0
9,181.972,36.40163333,30.20113333,96.59104167,10.15435833,2.128575,3027.75695,27.313,6.2005,0
10,189.995,36.48678333,30.347425,94.16439167,10.69426667,2.031808333,3171.931392,27.82005833,6.139358333,0
11,199.482,36.55801667,30.261125,90.90473333,11.31464167,1.937308333,3244.307975,27.6806,6.296891667,0
12,208.133,36.640025,30.30989167,85.94944167,11.93876667,1.841558333,3336.21195,27.5159,6.330133333,0
13,216.912,36.63443333,30.13900833,81.00223333,12.519525,1.741241667,3480.095317,27.77894167,6.495425,0
14,224.771,36.71425,30.21595,76.61213333,13.11635833,1.646625,3591.46625,27.23705833,6.4983,0
15,237.788,36.75626364,30.10654545,71.80420909,13.70464545,1.549745455,3681.2593,28.41803636,6.649718182,0
16,245.858,36.82659091,30.11656364,67.87138182,14.23839091,1.453418182,3772.605573,27.72733636,6.710027273,0
17,255.613,36.89927273,30.0915,62.78472727,14.77280909,1.356690909,3892.053609,27.37064545,6.807772727,0
18,265.519,36.96829091,29.90203636,57.95985455,15.46428182,1.259754545,3971.577609,27.61560909,7.066254545,0
19,278.224,37.01800909,29.86006364,53.82264545,16.02884545,1.166609091,4114.287591,28.04069091,7.157945455,0
20,291.681,37.12708182,29.81086364,50.1418,16.68548182,1.067818182,4150.231182,28.02722727,7.316218182,0
21,339.758,37.66717,29.45978,50.27987,18.48671,1.07109,4677.12847,27.71783,8.20739,4.38
22,350.995,37.59966,29.53218,55.22353,17.95482,1.16107,4485.73658,27.72064,8.06748,4.38
23,363.092,37.48189,29.59872,60.25398,17.36948,1.26465,4416.24943,27.27616,7.88317,4.38
24,373.591,37.44036667,29.71803333,64.4746,16.81278889,1.355055556,4336.682956,27.33327778,7.722333333,4.38
25,383.039,37.30705556,29.6004,68.26147778,16.2228,1.4536,4195.083844,27.83442222,7.706655556,4.38
26,392.014,37.20446667,29.68442222,71.17737778,15.68243333,1.549044444,4069.833711,27.59175556,7.520044444,4.38
27,400.47,37.25882222,29.95202222,76.52711111,15.15995556,1.648455556,4037.5714,27.63811111,7.3068,4.38
28,417.124,37.227,29.82008889,81.65015556,14.62862222,1.742266667,3949.380833,27.56636667,7.406911111,4.38
29,427.372,37.11261111,30.02438889,85.92417778,14.06218889,1.841688889,3856.688989,28.16773333,7.088222222,4.38
30,436.364,37.06912222,29.91214444,89.77148889,13.48012222,1.9402,3770.632256,27.83163333,7.156977778,4.38
