,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,651,0,38.3174,32.4461,134.1153,4.8537,3.4428,2029.5867,28.08,5.8713,0
1,652,0.297,38.4164,32.514,134.2978,4.8943,3.4428,2110.0014,31.7894,5.9024,0
2,653,0.574,38.2276,32.5414,141.2644,4.8986,2.739,2045.1292,28.8301,5.6862,0
3,654,0.861,38.2619,32.5276,134.5585,4.9395,2.9317,2123.4428,27.8549,5.7343,0
4,655,1.143,38.2717,32.5597,137.4519,4.8521,3.0407,2143.3164,27.3066,5.712,0
5,656,1.427,38.2523,32.3579,135.7315,4.7209,3.0616,2127.0061,29.2789,5.8944,0
6,657,1.708,38.4594,32.6226,139.407,4.8369,2.8401,2119.4921,28.7415,5.8368,0
7,658,1.99,38.0919,32.4622,134.3721,4.8416,2.887,2111.9819,31.3982,5.6297,0
8,659,2.269,38.3603,32.4291,141.1795,4.7731,2.8989,2088.4094,27.4855,5.9312,0
9,660,2.557,38.4843,32.5038,135.1059,4.8215,3.1572,2146.332,27.6858,5.9805,0
10,661,2.84,38.4344,32.8195,137.8587,4.7416,2.9786,2132.196,29.0412,5.6149,0
11,662,3.122,38.281,32.5377,133.3333,4.8896,2.9516,2143.1123,31.9285,5.7433,0
12,663,3.399,38.4283,32.6294,142.1923,4.7632,3.0906,2051.5156,28.5079,5.7989,0
13,664,3.689,38.2757,32.7131,135.4187,4.8578,2.8965,2131.0854,30.3204,5.5626,0
14,665,3.97,38.4164,32.402,139.9544,4.7999,2.9261,2122.7416,30.7006,6.0144,0
15,666,4.251,38.3187,32.5546,134.2262,4.8107,3.0144,2115.0095,31.7038,5.7641,0
16,667,4.532,38.3571,32.2289,141.8573,4.8361,2.9589,2095.4111,26.8979,6.1282,0
17,668,4.823,38.4558,32.2628,136.8003,4.8219,2.9761,2187.8115,28.7483,6.193,0
18,669,5.103,38.2942,32.7627,139.2159,4.8161,2.8266,2161.2275,29.6502,5.5315,0
19,670,5.384,38.3258,32.5174,134.4021,4.7755,3.0199,2139.4951,27.6963,5.8084,0
20,671,5.67,38.5223,32.5084,137.3544,4.754,2.9479,2187.4392,28.5928,6.0139,0
21,672,5.952,38.6684,32.6471,134.4803,4.9038,3.0109,2143.1123,29.7105,6.0213,0
22,673,6.235,38.4673,32.5853,139.7458,4.8085,2.9777,2157.8078,32.3189,5.882,0
23,674,6.514,38.447,32.6075,134.9265,4.855,2.9442,2116.85,28.4102,5.8395,0
24,675,6.802,38.3553,32.7041,137.3998,4.7257,2.9664,2184.6252,29.2063,5.6512,0
25,676,7.083,38.3534,32.6701,134.0111,4.7967,2.9232,2175.0163,30.7187,5.6833,0
26,677,7.364,38.4199,32.7396,140.4707,4.9434,2.9851,2161.8505,31.6214,5.6803,0
27,678,7.644,38.4401,32.3884,134.376,4.9288,2.9623,2151.8229,28.6018,6.0517,0
28,679,7.93,38.2733,32.48,138.5468,4.8644,3.0567,2026.5705,28.0973,5.7933,0
29,680,8.228,38.3536,32.5555,138.7814,4.8705,2.9206,2044.8504,28.7279,5.7981,0
30,681,8.523,38.1491,32.3714,138.3643,4.9077,2.9276,2028.169,28.2803,5.7777,0
31,682,8.821,38.2903,32.5276,137.7126,4.7762,2.9946,2021.2,29.3095,5.7627,0
32,683,9.118,38.5938,32.4733,139.7274,4.8888,2.9645,2218.552,30.5157,6.1205,0
33,684,9.398,38.1686,32.592,133.4376,4.8904,2.8908,2185.6862,31.4171,5.5766,0
34,685,9.678,38.3571,32.8505,140.3454,4.7361,2.9465,2143.4184,28.7392,5.5066,0
35,686,9.966,38.4992,32.6042,134.3137,4.903,2.9324,2033.1173,27.9831,5.895,0
36,687,10.265,38.3504,32.4631,134.5236,4.8219,3.0053,2055.9208,27.787,5.8873,0
37,688,10.564,38.4847,32.8704,135.1274,4.8408,2.9538,2065.1201,28.878,5.6143,1.268565744
38,689,10.86,38.4928,32.6362,134.1211,4.8062,2.986,2045.4079,29.1666,5.8566,2.752737523
39,690,11.158,38.3682,32.3443,135.5751,4.8967,3.02,2111.7343,28.8437,6.0239,4.24693749
40,691,11.453,38.5216,32.4688,138.7553,5.2006,3.0101,2293.4609,28.1907,6.0528,5.726095175
41,692,11.735,38.5155,32.4027,139.3027,6.1942,2.9509,2472.3916,31.3012,6.1128,7.14006964
42,693,12,38.9084,32.3002,138.5468,7.2027,2.996,2764.8068,27.5874,6.6082,8.46880451
43,694,12.257,39.2525,31.9641,140.9449,8.2939,3.0298,2892.2167,29.6309,7.2884,9.757426629
44,695,12.504,39.1062,31.4957,137.3477,9.0961,2.88,3068.3212,30.8695,7.6105,10.99590781
45,696,12.742,39.5319,31.136,143.1552,10.5904,2.9326,3514.9384,31.6625,8.3959,12.18926215
46,697,12.965,40.0388,31.1665,137.3216,11.6383,3.0185,3874.634,30.447,8.8723,12.25945946
47,698,13.181,40.7024,30.4014,138.5728,12.9618,2.9535,3929.6164,29.6044,10.301,12.25945946
48,699,13.398,41.215,30.1571,137.143,14.1797,2.9782,4350.5585,29.6141,11.0579,12.25945946
49,700,13.606,41.9346,29.7079,140.6304,15.3851,2.996,4591.3681,27.0434,12.2267,12.25945946
50,701,13.814,42.0606,29.8631,139.9434,15.7157,2.9608,4674.3535,31.4632,12.1975,12.25945946
51,702,14.013,41.8186,29.9073,135.3144,15.9107,2.9019,4794.8852,27.4835,11.9113,12.25945946
52,703,14.218,41.9995,29.9094,135.4969,15.9236,2.9765,4421.7353,27.1602,12.0901,12.25945946
