,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi),dt
187,46.155,38.6517,31.2375,59.6403896,16.0493,1.0581,3945.707,27.2798,0,7.4142,0.248
188,46.402,38.5679,31.2466,62.3301328,15.9097,1.1158,3938.1447,27.1041,0,7.3213,0.247
189,46.649,38.6598,31.2416,57.2676352,16.0108,1.0072,3948.5114,27.505,0,7.4182,0.247
190,46.896,38.6628,31.2456,58.8059632,16.1016,1.0402,3952.465,27.3141,0,7.4172,0.247
191,47.143,38.6972,31.3304,59.9573784,15.9274,1.0649,3938.1447,27.3645,0,7.3668,0.247
192,47.389,38.6123,31.281,59.6217432,15.908,1.0577,3936.5944,27.4622,0,7.3313,0.246
193,47.635,38.7386,31.3042,60.591356,16.0282,1.0785,3944.3581,27.2023,0,7.4344,0.246
194,47.881,38.785,31.4355,59.9573784,16.0224,1.0649,3944.4619,27.6288,0,7.3495,0.246
195,48.128,38.7355,31.4132,62.1716384,15.9977,1.1124,3940.9384,27.1392,0,7.3223,0.247
196,48.375,38.7476,31.3728,59.3467088,15.9376,1.0518,3938.1447,27.1053,0,7.3748,0.247
197,48.622,38.6568,31.2739,58.1067232,15.9928,1.0252,3948.3034,27.2786,0,7.3829,0.247
198,48.869,38.7507,31.3153,57.9482288,15.8976,1.0218,3934.9423,27.0054,0,7.4354,0.247
199,49.115,38.6345,31.2668,59.5518192,15.9807,1.0562,3938.8686,27.5412,0,7.3677,0.246
200,49.362,38.7224,31.2557,57.9715368,16.0086,1.0223,3939.9033,27.2798,0,7.4667,0.247
201,49.61,38.7436,31.392,58.6241608,15.9703,1.0363,3941.0419,27.6702,0,7.3516,0.248
202,49.857,38.7133,31.3365,59.6403896,15.9238,1.0581,3950.279,27.1774,0,7.3768,0.247
203,50.104,38.7022,31.2517,60.4561696,15.9671,1.0756,3935.4584,27.3627,0,7.4505,0.247
204,50.351,38.7083,31.3405,59.076336,15.9899,1.046,3943.8398,27.2841,0,7.3678,0.247
205,50.598,38.6547,31.2951,58.8059632,16.0013,1.0402,3946.6413,27.5655,0,7.3596,0.247
206,50.845,38.685,31.3264,61.6308928,15.9948,1.1008,3945.6032,26.9575,0,7.3586,0.247
207,51.092,38.7153,31.3355,59.892116,16.0331,1.0635,3943.9433,27.0818,0,7.3798,0.247
208,51.339,38.7032,31.3022,59.915424,15.9429,1.064,3936.2846,27.1616,0,7.401,0.247
209,51.586,38.7184,31.3123,59.5751272,15.965,1.0567,3941.3527,27.4275,0,7.4061,0.247
210,51.833,38.6992,31.2658,58.1719856,16.0636,1.0266,3941.0419,27.588,0,7.4334,0.247
211,52.08,38.7537,31.3749,59.6403896,16.0091,1.0581,3945.3957,27.4021,0,7.3788,0.247
212,52.327,38.7012,31.285,58.0834152,15.9877,1.0247,3951.9443,27.772,0,7.4162,0.247
213,52.574,38.7618,31.4102,59.3700168,15.9092,1.0523,3932.1572,27.0384,0,7.3516,0.247
214,52.822,38.6275,31.2921,59.6217432,15.9322,1.0577,3933.6008,27.3818,0,7.3354,0.248
215,53.069,38.8062,31.4264,60.2277512,16.0166,1.0707,3947.9916,27.7498,0,7.3798,0.247
216,53.315,38.7073,31.2961,60.2743672,16.0638,1.0717,3952.9858,27.5137,0,7.4112,0.246
217,53.562,38.6487,31.3062,61.0202232,15.899,1.0877,3935.9748,27.6898,0,7.3425,0.247
218,53.809,38.7466,31.282,59.3047544,16.0413,1.0509,3940.6279,27.6558,0,7.4646,0.247
219,54.056,38.6557,31.2446,60.2510592,15.9996,1.0712,3944.2546,27.1574,0,7.4111,0.247
220,54.312,38.6982,31.3728,60.54474,15.9986,1.0775,3935.4584,27.4429,0,7.3254,0.256
221,54.56,38.7749,31.4112,60.521432,15.9322,1.077,3932.7756,27.2988,0,7.3637,0.248
222,54.807,38.8668,31.5122,61.8779576,15.9633,1.1061,3929.479,26.8065,0,7.3546,0.247
223,55.053,38.6699,31.3779,58.1719856,15.9284,1.0266,3940.7314,27.4876,0,7.292,0.246
224,55.3,38.6618,31.2951,57.8130424,15.9863,1.0189,3939.0756,27.098,0,7.3667,0.247
225,55.547,38.7931,31.4466,58.7173928,15.9511,1.0383,3936.9045,27.4454,0,7.3465,0.247
226,55.794,38.9335,31.5374,60.1857968,15.8918,1.0698,3937.3178,27.1853,0,7.3961,0.247
227,56.04,38.7739,31.3496,59.2348304,15.9645,1.0494,3940.1103,27.3442,0,7.4243,0.246
228,56.286,38.8103,31.388,57.677856,15.8714,1.016,3930.6115,27.3153,0,7.4223,0.246
229,56.532,38.6295,31.2547,57.9948448,15.9422,1.0228,3939.2824,27.5088,0,7.3748,0.246
230,56.78,38.7911,31.3496,58.2885256,15.9877,1.0291,3938.3515,27.2419,0,7.4415,0.248
231,57.027,38.7113,31.2769,58.7173928,15.9271,1.0383,3936.8012,27.2206,0,7.4344,0.247
232,57.273,38.7618,31.3496,59.868808,15.9671,1.063,3932.9819,27.3627,0,7.4122,0.246
233,57.52,38.7598,31.3819,56.6150112,16.0609,0.9932,3939.9033,27.3233,0,7.3779,0.247
234,57.767,38.7588,31.3981,60.3442912,15.9594,1.0732,3933.1882,27.1999,0,7.3607,0.247
235,58.013,38.7062,31.389,59.0343816,15.9468,1.0451,3931.7448,27.4244,0,7.3172,0.246
236,58.26,38.7628,31.3193,58.9877656,16.0049,1.0441,3939.1789,27.6037,0,7.4435,0.247
237,58.507,38.7184,31.3294,60.2510592,15.9485,1.0712,3941.9741,27.3068,0,7.389,0.247
238,58.754,38.7123,31.2931,57.7198104,15.9686,1.0169,3938.5585,27.4207,0,7.4192,0.247
239,59.001,38.4245,31.0295,58.1719856,16.0032,1.0266,3940.2138,27.9231,0,7.395,0.247
240,59.248,38.7789,31.4314,58.8292712,15.9412,1.0407,3935.2519,27.4659,0,7.3475,0.247
241,59.494,38.7901,31.3638,59.3700168,16.0003,1.0523,3940.7314,27.1962,0,7.4263,0.246
242,59.74,38.7224,31.3426,59.3933248,15.9468,1.0528,3934.4262,27.3608,0,7.3798,0.246
243,59.986,38.7032,31.2608,60.4328616,16.0098,1.0751,3933.9104,27.6955,0,7.4424,0.246
244,60.234,38.8375,31.3527,58.9877656,16.0461,1.0441,3945.707,27.5818,0,7.4848,0.248
245,60.48,38.785,31.3627,59.122952,15.964,1.047,3943.2177,27.2023,0,7.4223,0.246
246,60.727,38.6608,31.2476,61.2486416,15.9322,1.0926,3938.6618,27.5013,0,7.4132,0.247
247,60.974,38.7981,31.386,60.1624888,15.9596,1.0693,3940.8349,27.4498,0,7.4121,0.247
248,61.22,38.6941,31.2385,61.0668392,16.0117,1.0887,3944.2546,27.5299,0,7.4556,0.246
249,61.467,38.7577,31.3395,58.7826552,16.0175,1.0397,3941.249,27.1816,0,7.4182,0.247
250,61.714,38.7779,31.3436,58.353788,15.9911,1.0305,3935.4584,27.3836,0,7.4343,0.247
251,61.961,38.7557,31.3607,59.5285112,16.0059,1.0557,3935.8715,27.3824,0,7.395,0.247
252,62.208,38.5659,31.1719,58.7826552,15.9851,1.0397,3945.9145,27.5306,0,7.394,0.247
253,62.455,38.5497,31.1446,58.5355904,15.9839,1.0344,3942.1813,27.3621,0,7.4051,0.247
254,62.701,38.7426,31.3789,56.862076,15.9577,0.9985,3938.1447,27.6275,0,7.3637,0.246
255,62.948,38.784,31.3143,60.4561696,15.9642,1.0756,3937.8347,27.3246,0,7.4697,0.247
256,63.195,38.6679,31.2648,61.7893872,15.9967,1.1042,3941.9741,27.5899,0,7.4031,0.247
257,63.441,38.6638,31.286,59.6403896,15.9608,1.0581,3940.4208,27.5705,0,7.3778,0.246
258,63.689,38.782,31.4405,58.6474688,15.9238,1.0368,3932.3632,27.3356,0,7.3415,0.248
259,63.935,38.7224,31.3648,60.7731584,15.9555,1.0824,3927.2155,27.1816,0,7.3576,0.246
