,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi),
0,0,915.311,38.7234045455,31.3898727273,56.5669119636,16.3170409091,0.9921681818,3942.0963681818,27.3246727273,0,7.3335318182,16.1892488114
1,1,963.642,38.6901363636,31.5244545455,64.7990856727,15.5212863636,1.1687636364,3807.4027409091,27.3149636364,0,7.1656818182,18.1407150914
2,2,972.563,38.6216454545,31.4993454545,68.6603737091,15.0250909091,1.2515954545,3723.4013363636,27.3339545455,0,7.1223,18.805335486
3,3,982.974,38.5375954545,31.4775954545,72.2646380727,14.3866590909,1.3289136364,3618.1862045455,26.9504227273,0,7.06,19.1186274476
4,4,994.637,38.3873590909,31.4492227273,77.2523381818,13.7480045455,1.4359090909,3512.2028727273,26.9700681818,0,6.9381363636,19.7408847087
5,5,1004.08,38.3428,31.6031285714,82.4722404571,13.1937857143,1.5478857143,3418.7458285714,27.636247619,0,6.7396714286,20.4224724245
6,6,1015.564,38.3134636364,31.6741,86.1184894909,12.5560272727,1.6261045455,3309.4872727273,27.5463545455,0,6.6393636364,20.417413021
7,7,1024.519,38.2531409091,31.7148681818,91.1716638909,11.9222227273,1.7345045455,3197.6359954546,26.9786681818,0,6.5382727273,20.6791495124
8,8,1047.2629,38.0543090909,31.5603545455,95.5734856364,11.3133318182,1.8289318182,3095.6141090909,27.0250363636,0,6.4939545455,20.6913125319
9,9,1058.9749,38.1098714286,31.6972428571,99.8089528381,10.6502714286,1.9197904762,2978.8534571429,27.4115666667,0,6.4126285714,20.4462896574
10,10,1074.222,38.0269,31.7031590909,103.5958873455,10.0107954545,2.0010272727,2869.1013681818,27.1326772727,0,6.3237409091,20.0318747262
11,11,1094.426,38.0217590909,31.7400045455,107.7281838545,9.3666136364,2.0896727273,2754.8203181818,27.4107136364,0,6.2817545455,19.5731570628
12,12,1105.5729,37.82925,31.6381,113.0650801818,8.6172454545,2.2041590909,2622.7702909091,26.9558454545,0,6.19115,18.9937799072
13,13,1117.7189,37.8876272727,31.7433181818,116.3521438545,8.0415136364,2.2746727273,2520.9069136364,27.35505,0,6.1443090909,18.2918117546
14,14,1127.623,37.8512863636,31.7432636364,120.5283017818,7.3966636364,2.3642590909,2408.4048818182,27.0227954545,0,6.1080227273,17.4876292447
15,15,1138.28,37.7759090909,31.7459318182,125.1913850182,6.6100181818,2.4642909091,2269.59935,27.0378,0,6.0299772727,16.2890077144
16,16,1150.9379,37.7872454545,31.7926590909,129.0270342545,5.8863227273,2.5465727273,2141.2659318182,27.4817681818,0,5.9945863636,14.9899489212
17,17,1162.364,37.8537181818,31.9575818182,134.4821657091,5.12695,2.6635954545,2003.8941818182,26.9733636364,0,5.8961363636,13.6561207157
18,18,1174.281,37.7373636364,31.8595363636,138.0792257818,4.3198,2.7407590909,1858.70655,27.2246818182,0,5.8778272727,11.8395311209
19,19,1187.177,37.78215,31.9202590909,142.215972,3.6925772727,2.8295,1752.1728136364,27.1864409091,0,5.8618909091,10.4481473932
20,20,1198.5839,37.62925,31.8705090909,147.1896873091,2.9154090909,2.9361954545,1608.0199045455,26.9909454545,0,5.7587409091,8.5602109209
21,21,1208.2469,37.8079954545,32.0947727273,151.7415278182,2.1678,3.0338409091,1474.84095,26.9952227273,0,5.7132227273,6.5767603227
22,22,1232.2989,37.6527954545,31.9549772727,156.5777259273,1.3459045455,3.1375863636,1318.7429818182,26.9960545455,0,5.6978181818,4.2228917486
23,23,1334.863,39.7925909091,30.1674636364,103.7185721818,16.1586045455,2.0036590909,4153.3505,26.7848181818,4.4965,9.6251272727,32.3763348939
24,24,1346.0679,39.8285409091,30.3409772727,108.9349025818,15.5079,2.1155590909,4042.0638863636,26.6039772727,4.4965,9.4875636364,32.8078788259
25,25,1357.7829,39.7436045455,30.3407045455,113.2604436,14.9224,2.20835,3935.1812863636,26.4554545455,4.4965,9.4029,32.95388204
26,26,1367.2519,39.6962454545,30.3380363636,117.1386829091,14.3490181818,2.2915454545,3844.7968954546,26.4759,4.4965,9.3582090909,32.8814273917
27,27,1377.207,39.7220454545,30.4383863636,121.0347210545,13.7901545455,2.3751227273,3748.7915681818,26.6392954545,4.4965,9.2836590909,32.7533094735
28,28,1388.404,39.5835136364,30.3851363636,125.7851033455,13.0793545455,2.4770272727,3630.8026454546,26.8975454545,4.4965,9.1983772727,32.3979179188
29,29,1397.369,39.5173227273,30.4278272727,129.9854168364,12.4367318182,2.5671318182,3526.0830363636,26.8504,4.4965,9.0894954545,31.9267299646
30,30,1406.097,39.4855545455,30.4524227273,134.4923364727,11.8035272727,2.6638136364,3408.1975863636,27.0018863636,4.4965,9.0331318182,31.4423969063
31,31,1415.332,39.4607772727,30.4919136364,138.6875645818,11.1660545455,2.7538090909,3294.9521818182,26.6597954545,4.4965,8.9688636364,30.7491825169
32,32,1424.0429,39.4351545455,30.5615363636,142.9914927273,10.5941454545,2.8461363636,3200.5634636364,26.9147727273,4.4965,8.8736181818,30.1523826198
33,33,1433.03,39.3791954545,30.53775,147.7643354545,9.8922181818,2.9485227273,3076.5336363636,26.4938181818,4.4965,8.8414454545,29.1674301322
34,34,1449.186,39.2983227273,30.5660863636,151.8459900364,9.2029545455,3.0360818182,2957.1806909091,26.6883272727,4.4965,8.7322363636,27.940922969
35,35,1461.149,39.2790545455,30.6435181818,157.2487844364,8.4752136364,3.1519818182,2833.4276636364,26.6005,4.4965,8.6355363636,26.713719287
36,36,1475.78,39.1705363636,30.5673136364,161.1954645091,7.8024590909,3.2366454545,2714.5784136364,26.5546318182,4.4965,8.6032227273,25.2537937509
37,37,1485.4439,39.1268045455,30.6128136364,165.7966756,7.0821272727,3.33535,2587.5665545455,26.8005636364,4.4965,8.5139909091,23.6213731991
38,38,1554.072,39.98675,30.14925,100.1393109455,16.8981772727,1.9268772727,4291.5188272727,26.6811318182,4.4965,9.8375,32.5607137373
39,39,1566.057,40.0560181818,30.1331909091,94.6708303636,17.5109409091,1.8095681818,4397.4784772727,26.3673545455,4.4965,9.9228272727,31.6872415028
40,40,1578.5129,40.1119818182,30.0884772727,91.7730102909,18.0609590909,1.7474045455,4493.8620454546,26.44575,4.4965,10.0235045455,31.5598020107
