,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
0,0,35.7636,29.9338,113.3280368,7.5956,2.2098,2435.5788,27.1156,0,5.8298
1,0.688,35.806,29.9773,111.2070088,7.5185,2.1643,2468.9731,26.806,0,5.8287
2,0.933,35.8444,30.054,112.7639832,7.5609,2.1977,2458.4924,26.7123,0,5.7904
3,1.178,35.8777,30.0156,111.7244464,7.5602,2.1754,2459.5925,26.7129,0,5.8621
4,1.422,35.7686,29.9308,111.3188872,7.574,2.1667,2464.2275,26.3534,0,5.8378
5,1.667,35.9191,30.0045,110.7781416,7.4419,2.1551,2461.3164,27.0926,0,5.9146
6,1.912,35.7979,29.9258,112.7406752,7.5985,2.1972,2456.7207,26.9264,0,5.8721
7,2.157,35.8313,29.9954,112.4469944,7.5628,2.1909,2471.4545,26.8539,0,5.8359
8,2.402,35.8535,30.0277,113.9153984,7.5391,2.2224,2465.8073,26.6042,0,5.8258
9,2.647,35.8121,29.9662,113.6683336,7.5766,2.2171,2458.0895,27.2096,0,5.8459
10,2.891,35.7697,29.951,113.4445768,7.6225,2.2123,2460.1052,26.5016,0,5.8187
11,3.136,35.7838,29.9187,111.2722712,7.567,2.1657,2470.071,26.7558,0,5.8651
12,3.381,35.6869,29.8066,111.3421952,7.565,2.1672,2465.402,26.9306,0,5.8803
13,3.625,35.7939,29.8965,109.8271752,7.6312,2.1347,2466.3713,26.5421,0,5.8974
14,3.871,35.8898,30.0328,111.2489632,7.5956,2.1652,2469.9082,26.374,0,5.857
15,4.115,35.8605,29.951,111.0718224,7.6559,2.1614,2464.997,26.867,0,5.9095
16,4.359,35.8161,29.9611,110.7548336,7.6023,2.1546,2472.4323,27.0721,0,5.855
17,4.604,35.8222,29.9914,111.7011384,7.6431,2.1749,2471.3325,26.5421,0,5.8308
18,4.849,35.9151,30.152,110.3912288,7.5762,2.1468,2468.4045,26.7617,0,5.7631
19,5.094,35.8615,30.0368,109.7386048,7.5861,2.1328,2463.2563,26.9659,0,5.8247
20,5.339,35.7283,29.9278,111.7244464,7.6002,2.1754,2462.1687,26.994,0,5.8005
21,5.584,35.8929,30.0429,109.6034184,7.556,2.1299,2464.5109,26.5996,0,5.85
