,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),GV (deg),DP (psi)
2,0,33.9055,28.3333,105.4219632,8.0202,2.0402,2447.2614,25.8438,0,5.5722
3,0.688,34.061,28.3868,100.3128496,8.0124,1.9306,2523.4724,25.8635,0,5.6742
4,0.933,34.0136,28.4585,103.478076,7.9698,1.9985,2526.4272,25.8982,0,5.5551
5,1.178,33.9802,28.3423,102.6436496,8.0274,1.9806,2522.5346,25.7017,0,5.6379
6,1.423,33.7944,28.1757,105.1748984,8.0815,2.0349,2531.8693,26.0268,0,5.6187
7,1.667,33.9449,28.2949,102.3686152,7.9572,1.9747,2536.0275,25.9696,0,5.65
8,1.912,33.8752,28.2555,103.0492088,8.0255,1.9893,2514.2053,25.8575,0,5.6197
9,2.159,33.9903,28.3615,99.8839824,8.0131,1.9214,2519.6372,25.6654,0,5.6288
10,2.403,34.0449,28.4282,103.9768672,8.0294,2.0092,2518.215,25.6259,0,5.6167
11,2.647,33.9833,28.3403,104.8579096,8.0437,2.0281,2515.0905,26.0441,0,5.643
12,2.892,34.1034,28.4625,102.4385392,8.0202,1.9762,2526.6562,25.6286,0,5.6409
13,3.137,33.7823,28.205,101.4456184,8.0597,1.9549,2528.0493,25.8059,0,5.5773
14,3.381,33.7459,28.1929,102.3033528,8.0056,1.9733,2528.0493,25.9165,0,5.553
15,3.627,33.8126,28.2373,102.8674064,7.9232,1.9854,2516.7785,26.1736,0,5.5753
16,3.871,33.7884,28.1707,101.4223104,7.9518,1.9544,2509.4401,25.8597,0,5.6177
17,4.116,33.9954,28.3524,102.73222,7.9853,1.9825,2516.3142,25.7142,0,5.643
18,4.36,33.9166,28.3019,104.223932,8.0085,2.0145,2522.583,25.9341,0,5.6147
19,4.605,34.0176,28.3888,100.6531464,7.9986,1.9379,2517.7502,26.009,0,5.6288
20,4.85,33.9459,28.3272,102.8207904,8.0017,1.9844,2521.5332,25.6113,0,5.6187
21,5.094,33.8318,28.1697,102.8674064,8.0233,1.9854,2530.663,25.9701,0,5.6621
22,5.339,34.0327,28.3847,104.223932,8.0342,2.0145,2534.7624,25.7726,0,5.648
23,5.583,34.0489,28.4605,103.7484488,8.025,2.0043,2531.5439,25.948,0,5.5884
24,5.827,34.0408,28.3807,102.0749344,8.0216,1.9684,2527.0817,25.7545,0,5.6601
25,6.071,34.0651,28.3969,102.8674064,8.0412,1.9854,2526.3056,26.2075,0,5.6682
26,6.316,34.0024,28.308,101.2172,8.0781,1.95,2530.2363,26.268,0,5.6944
27,6.561,33.9984,28.3726,101.4456184,8.0517,1.9549,2531.7065,26.1533,0,5.6258
28,6.806,34.0903,28.4241,103.8183728,8.0468,2.0058,2533.7836,25.9142,0,5.6662
29,7.052,33.853,28.2484,103.7484488,7.9601,2.0043,2531.788,25.9292,0,5.6046
30,7.297,33.9631,28.3302,103.524692,7.961,1.9995,2514.6689,25.6097,0,5.6329
31,7.541,34.0095,28.3959,103.0025928,7.9816,1.9883,2511.2006,25.9391,0,5.6136
32,7.786,34.1085,28.4464,101.5341888,8.0669,1.9568,2525.2949,26.1129,0,5.6621
33,8.031,33.8207,28.1232,99.1614344,8.0468,1.9059,2535.8234,25.7895,0,5.6975
34,8.276,33.8076,28.1646,103.7018328,8.0153,2.0033,2533.2946,25.6486,0,5.643
35,8.521,34.061,28.4363,101.7812536,7.9761,1.9621,2515.4279,25.6773,0,5.6247
36,8.766,33.9449,28.306,104.4290424,8.033,2.0189,2515.4921,25.9507,0,5.6389
37,9.01,33.8944,28.2605,106.484808,8.0226,2.063,2526.7839,25.7873,0,5.6339
38,9.254,33.9722,28.304,103.3195816,8.0388,1.9951,2526.4677,25.7556,0,5.6682
39,9.499,33.9429,28.2787,101.4456184,7.9845,1.9549,2523.5532,25.4975,0,5.6642
40,9.743,34.0449,28.3938,100.2009712,8.05,1.9282,2516.7382,26.0804,0,5.6511
41,9.988,33.8681,28.2353,102.662296,8.0674,1.981,2533.7429,26.1146,0,5.6328
42,10.233,33.9641,28.3221,102.8907144,8.032,1.9859,2538.8442,25.8273,0,5.642
43,10.479,34.1529,28.5039,105.715644,8.0347,2.0465,2528.9423,25.6081,0,5.649
44,10.725,33.8732,28.2626,102.1914744,8.0548,1.9709,2526.6298,26.0213,0,5.6106
45,10.97,34.0923,28.4494,102.662296,7.9778,1.981,2529.5537,25.6551,0,5.6429
46,11.216,33.9217,28.2656,106.6619488,8.0168,2.0668,2518.8312,25.6092,0,5.6561
47,11.462,34.0186,28.4393,103.1843952,8.0495,1.9922,2519.5566,25.8021,0.2102,5.5793
48,11.708,34.061,28.3959,102.662296,8.1309,1.981,2524.3601,25.8817,0.5986,5.6651
49,11.953,34.0115,28.3333,105.622412,8.1353,2.0445,2536.2319,25.8416,0.9858,5.6782
50,12.198,34.0479,28.3302,105.3753472,8.2494,2.0392,2547.4719,25.9513,1.3749,5.7177
51,12.444,34.1256,28.3242,101.8744856,8.3687,1.9641,2568.5769,25.8734,1.7653,5.8014
52,12.69,34.1842,28.2787,105.64572,8.6881,2.045,2614.0644,25.7349,2.1556,5.9055
53,12.935,34.2377,28.1404,103.548,9.1377,2,2685.6779,25.7879,2.5428,6.0973
54,13.181,34.3993,28.0434,101.7159912,9.6718,1.9607,2770.5058,25.7562,2.9347,6.3559
55,13.434,34.7063,28.0313,103.524692,10.3248,1.9995,3004.8076,25.4954,3.3346,6.675
56,13.685,34.7467,27.694,103.1843952,11.2065,1.9922,3126.6284,25.989,3.7337,7.0527
57,13.932,35.0466,27.797,103.7950648,11.5654,2.0053,3243.8745,25.4479,4.1248,7.2496
58,14.179,35.0698,27.3618,102.3919232,12.3034,1.9752,3442.1037,25.6795,4.5139,7.708
59,14.426,35.3072,27.2133,103.7018328,12.9633,2.0033,3528.6645,25.6254,4.9047,8.0939
60,14.672,35.5495,27.1366,102.662296,13.4381,1.981,3715.3542,25.2256,5.2978,8.4129
61,14.919,35.7818,26.8538,103.2962736,14.2047,1.9946,3809.8139,25.6454,5.6885,8.928
62,15.166,36.1968,26.5196,102.4385392,15.1269,1.9762,4012.7336,25.1157,6.0785,9.6772
63,15.413,36.7886,26.2338,103.3195816,15.9836,1.9951,4217.748,25.2586,6.4692,10.5548
64,15.66,37.3682,25.9773,105.3100848,16.8547,2.0378,4319.2812,25.1245,6.8612,11.3909
65,15.907,37.6641,25.6956,101.240508,17.343,1.9505,4508.1596,24.9975,7.2535,11.9685
66,16.154,38.0852,25.1028,105.3100848,18.1215,2.0378,4664.0341,24.7336,7.645,12.9824
67,16.401,39.197,24.8322,105.4219632,18.8803,2.0402,4807.6923,24.2914,8.0346,14.3648
68,16.647,40.1099,24.2283,107.883288,19.705,2.093,4971.0024,24.2924,8.4249,15.8816
69,16.903,40.7269,24.0061,104.6527992,20.2819,2.0237,5088.0229,23.8376,8.49,16.7208
70,17.149,40.8663,24.1263,104.0188216,20.4522,2.0101,5147.9169,23.8797,8.49,16.74
71,17.396,41.0006,24.1536,104.5828752,20.6401,2.0222,5171.5219,24.2439,8.49,16.847
72,17.643,40.7814,23.9556,102.3033528,20.5717,1.9733,5184.75,23.9593,8.49,16.8258
73,17.89,41.0248,24.1929,104.200624,20.538,2.014,5173.8408,24.1218,8.49,16.8319
74,18.143,40.9238,24.0748,110.7315256,20.5683,2.1541,5183.854,24.4182,8.49,16.849
75,18.39,40.9935,24.0536,102.6436496,20.6951,1.9806,5193.1865,24.6999,8.49,16.9399
76,18.637,40.9642,24.1435,105.8508304,20.7503,2.0494,5188.1572,24.0526,8.49,16.8207
77,18.884,41.0066,24.1586,107.0022456,20.5838,2.0741,5178.3061,24.4246,8.49,16.848
78,19.131,40.8865,24.0697,106.3496216,20.5511,2.0601,5182.2421,24.4374,8.49,16.8168
79,19.38,40.8128,24.0283,106.5966864,20.5754,2.0654,5182.2421,24.4246,8.49,16.7845
80,19.627,40.8956,24.1495,104.3358104,20.587,2.0169,5176.5195,24.3586,8.49,16.7461
81,19.873,40.9359,24.1919,104.5642288,20.5138,2.0218,5160.1362,24.1328,8.49,16.744
82,20.12,40.9127,24.0869,105.9160928,20.5378,2.0508,5172.2353,24.1462,8.49,16.8258
83,20.367,41.0218,24.1657,105.5804576,20.5647,2.0436,5173.4843,24.3249,8.49,16.8561
84,20.613,40.9248,24.0677,106.7551808,20.6914,2.0688,5192.6469,24.15,8.49,16.8571
85,20.866,40.7966,24.0122,106.0745872,20.6091,2.0542,5187.7983,24.036,8.49,16.7844
86,21.113,40.938,24.1788,105.669028,20.6151,2.0455,5180.9892,24.1957,8.49,16.7592
87,21.36,40.8824,24.0354,103.7018328,20.5419,2.0033,5180.0947,24.0227,8.49,16.847
88,21.607,40.8501,24.0859,104.993096,20.6263,2.031,5184.5708,24.3898,8.49,16.7642
89,21.854,40.6764,23.9627,104.4943048,20.5472,2.0203,5149.8608,24.1003,8.49,16.7137
90,22.106,40.9299,24.1091,103.2310112,20.5921,1.9932,5167.4243,23.9895,8.49,16.8208
91,22.353,40.9137,24.0728,104.7879856,20.6587,2.0266,5184.5708,24.2793,8.49,16.8409
92,22.601,40.8834,24.0516,105.0583584,20.6418,2.0324,5182.2421,24.4339,8.49,16.8318
93,22.848,40.8168,23.99,101.0587056,20.6721,1.9466,5193.0068,24.7653,8.3848,16.8268
94,23.101,40.8218,24.1828,105.8275224,20.5829,2.0489,5185.6459,24.258,7.9846,16.639
95,23.348,40.4724,24.8079,104.3824264,20.3376,2.0179,5130.8364,24.6469,7.595,15.6645
96,23.595,39.5787,25.1492,104.7413696,19.715,2.0256,5018.5688,24.9171,7.2039,14.4295
97,23.842,38.9405,25.7945,104.2891944,18.9263,2.0159,4870.4462,24.6854,6.81,13.146
98,24.09,38.4942,25.948,105.9627088,18.5563,2.0518,4730.518,25.2613,6.4157,12.5462
99,24.337,37.7479,26.355,104.7646776,17.622,2.0261,4545.3232,25.1375,6.0249,11.3929
100,24.584,37.1844,26.5883,108.2468928,16.8333,2.1008,4393.1582,25.3603,5.6354,10.5961
101,24.832,36.8179,26.9488,107.0255536,16.107,2.0746,4307.498,25.3598,5.2415,9.8691
102,25.084,36.5563,27.0084,104.8579096,15.6383,2.0281,4119.1816,25.2886,4.8416,9.5479
103,25.33,36.317,27.0881,104.223932,15.1989,2.0145,4021.9868,25.4719,4.4517,9.2289
104,25.576,36.118,27.2133,104.3358104,14.725,2.0169,3975.0893,25.4671,4.0625,8.9047
105,25.823,35.91,27.4446,105.8042144,14.1618,2.0484,3837.3967,25.2923,3.6702,8.4654
106,26.07,35.8727,27.6102,104.6527992,13.8256,2.0237,3764.4934,25.5371,3.2802,8.2625
107,26.317,35.5081,27.6425,101.3290784,13.2401,1.9524,3612.2817,25.7507,2.8887,7.8656
108,26.563,35.1981,27.7657,100.587884,12.4873,1.9365,3515.4328,25.6947,2.4976,7.4324
109,26.81,35.1042,28.0364,103.2543192,11.8836,1.9937,3335.8537,25.5548,2.1056,7.0678
110,27.057,35.1062,28.1838,103.408152,11.4706,1.997,3252.3144,26.4158,1.7157,6.9224
111,27.304,34.675,28.0364,103.3428896,10.9336,1.9956,3181.9436,26.6042,1.3218,6.6386
112,27.552,34.4094,28.0768,102.3499688,10.2504,1.9743,3079.3234,25.7906,0.931,6.3326
113,27.799,34.3821,28.2989,106.2563896,9.5814,2.0581,2962.7236,26.1365,0.5399,6.0832
114,28.044,34.3195,28.4484,104.0421296,8.9002,2.0106,2840.8193,25.8949,0.1507,5.8711
115,28.29,34.0317,28.3565,103.6831864,8.5415,2.0029,2714.4855,26.0475,-0.0008,5.6752
116,28.536,34.2509,28.6089,102.4385392,8.0844,1.9762,2589.2255,25.6768,-0.0008,5.642
117,28.783,34.0711,28.409,100.1124008,8.0948,1.9263,2537.8666,26.0062,-0.0008,5.6621
118,29.03,34.0822,28.4504,102.0749344,8.0202,1.9684,2534.5178,25.8185,-0.0008,5.6318
119,29.277,34.0317,28.4171,100.6764544,8.1229,1.9384,2533.6616,25.79,-0.0008,5.6146
120,29.524,33.8661,28.2323,100.9002112,8.0485,1.9432,2537.2534,25.7529,-0.0008,5.6338
121,29.771,33.9136,28.2838,101.6041128,8.0919,1.9583,2531.1755,25.858,-0.0008,5.6298
122,30.017,34.0237,28.3383,103.3661976,8.1033,1.9961,2532.0729,25.9358,-0.0008,5.6854
123,30.263,34.0327,28.4039,101.5341888,8.0844,1.9568,2537.5395,25.9154,-0.0008,5.6288
124,30.512,34.0317,28.3847,101.240508,8.0672,1.9505,2537.9892,26.0597,-0.0008,5.647
125,30.758,34.0045,28.3484,101.939748,8.0759,1.9655,2535.0073,26.2301,-0.0008,5.6561
126,31.005,34.0418,28.3928,102.6436496,8.0849,1.9806,2539.3395,26.1725,-0.0008,5.649
127,31.251,34.0297,28.4029,101.4689264,8.1026,1.9554,2539.2578,25.7502,-0.0008,5.6268
128,31.497,33.854,28.2888,104.5409208,8.1089,2.0213,2539.2741,25.9923,-0.0008,5.5652
129,31.744,33.9994,28.3484,104.0654376,8.0665,2.0111,2531.9914,26.208,-0.0008,5.651
130,31.991,33.9893,28.3464,103.408152,8.065,1.997,2533.7836,25.8745,-0.0008,5.6429
131,32.237,33.8772,28.2232,103.0259008,7.9559,1.9888,2534.5993,25.7344,-0.0008,5.654
132,32.484,33.96,28.3534,104.3125024,8.0808,2.0164,2515.4921,25.9851,-0.0008,5.6066
133,32.731,33.9419,28.3191,103.501384,8.0349,1.999,2529.9375,26.0424,-0.0008,5.6228
134,32.977,33.8833,28.2212,104.1120536,8.0594,2.0121,2530.2424,25.8213,-0.0008,5.6621
135,33.225,34.0206,28.41,105.1748984,8.024,2.0349,2521.0488,26.0057,-0.0008,5.6106
136,33.471,34.0075,28.3565,103.454768,8.0846,1.998,2531.2998,25.9137,-0.0008,5.651
137,33.718,33.9964,28.3575,103.0958248,8.0539,1.9903,2533.091,25.9491,-0.0008,5.6389
138,33.965,33.9853,28.4231,104.223932,8.0168,2.0145,2528.7006,25.7518,-0.0008,5.5622
139,34.212,33.8419,28.2242,101.963056,8.0042,1.966,2526.4677,25.8646,-0.0008,5.6177
