,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
832,365.025,35.0069,28.5587,116.5359,8.8489,2.4878,2903.2258,26.5901,6.4482,8.76
833,365.686,35.0877,28.8182,122.333,8.9166,2.4814,2711.415,26.3557,6.2695,8.76
834,366.358,35.2463,28.5455,121.551,9.0772,2.4705,2834.1994,26.4974,6.7008,8.76
835,367.025,35.0582,28.9671,122.3069,8.8741,2.4892,2780.0085,27.5032,6.0911,8.76
836,367.69,35.0131,28.7403,121.0662,8.7796,2.4916,2712.968,26.6017,6.2728,8.76
837,368.362,35.1662,28.5123,123.0629,8.9263,2.4814,2800.2487,27.2556,6.6539,8.76
838,369.029,35.1278,28.6345,121.1339,8.7773,2.4848,2773.8395,26.2788,6.4933,8.76
839,369.701,34.9843,28.4233,121.9783,9.0489,2.4709,2871.821,27.3783,6.561,8.76
840,370.365,35.1708,28.5983,121.6348,8.8234,2.4712,2783.6198,26.0974,6.5725,8.76
841,371.039,35.1631,28.5785,121.0008,8.9434,2.482,2713.4587,27.8634,6.5846,8.76
842,371.71,34.9572,28.5058,117.4341,9.0127,2.4791,2766.0815,25.8955,6.4514,8.76
843,372.386,35.1425,28.6581,116.2333,8.9899,2.4847,2695.9829,26.6104,6.4844,8.76
844,373.063,35.2789,28.78,123.0213,8.9442,2.4847,2881.9365,27.3413,6.4989,8.76
845,373.73,34.9951,28.6277,121.4467,8.8505,2.4876,2855.2392,26.6444,6.3674,8.76
846,374.402,34.9232,28.4728,122.903,8.8836,2.4832,2684.4035,26.2835,6.4504,8.76
847,375.084,35.1321,28.7533,116.0769,9.0158,2.4813,2748.9311,27.3045,6.3788,8.76
848,375.759,35.0581,28.6698,120.8951,8.8025,2.4903,2932.4558,25.9157,6.3883,8.76
849,376.432,35.0053,28.6718,120.5509,8.9694,2.4753,2804.0876,26.5852,6.3335,8.76
850,377.108,35.1567,28.7159,116.0769,8.9574,2.4723,2751.5361,26.0118,6.4408,8.76
851,377.791,35.0284,28.6141,121.1339,8.9991,2.474,2817.8715,27.0785,6.4143,8.76
852,378.467,34.9986,28.3901,115.8684,9.0465,2.4696,2742.1467,27.6323,6.6085,8.76
853,379.145,34.9877,28.7139,118.9136,8.8198,2.4648,2704.4082,26.3824,6.2738,8.76
854,379.831,35.2674,28.5598,114.9039,9.0528,2.4816,2873.4714,26.2646,6.7076,8.76
855,380.51,35.0291,28.562,121.3946,8.9741,2.4758,2902.8513,26.1836,6.4671,8.76
856,381.189,34.9532,28.5686,116.5722,8.9686,2.4879,2903.413,27.2098,6.3846,8.76
857,381.864,35.154,28.5598,121.6292,8.993,2.4972,2804.5246,26.022,6.5942,8.76
858,382.548,35.033,28.5785,116.5359,8.9859,2.4942,2911.4907,28.1233,6.4545,8.76
859,383.22,35.1452,28.4376,117.4188,8.782,2.4795,2743.3171,27.2108,6.7076,8.76
860,383.904,35.0698,28.6115,115.7169,9.0182,2.4856,2840.2814,26.1301,6.4583,8.76
861,384.589,34.9272,28.291,121.6877,9.067,2.4935,2715.5876,26.8731,6.6362,8.76
862,385.276,35.0489,28.6005,121.7595,8.8442,2.4943,2893.4255,26.3072,6.4484,8.76
863,385.959,35.2311,28.4002,116.166,9.0906,2.4299,2958.3854,27.367,6.8309,8.76
864,386.635,35.0596,28.3392,114.8517,9.2355,2.3743,2823.175,26.6133,6.7204,8.76
865,387.321,35.0621,28.6779,115.3206,9.5047,2.3925,2862.1403,26.9854,6.3842,8.76
866,388.004,35.228,28.439,114.4086,9.3591,2.3929,2864.5087,27.142,6.789,8.76
867,388.688,35.2824,28.6413,114.6953,9.5819,2.3819,2922.0778,27.0474,6.6411,8.76
868,389.37,35.0739,28.4546,114.1479,9.5654,2.392,2933.4116,27.1127,6.6193,8.76
869,390.053,35.215,28.6776,115.2942,9.5126,2.382,2928.7341,26.8207,6.5374,8.76
870,390.738,35.2254,28.7397,114.6953,9.5654,2.3841,2965.5012,27.1077,6.4857,8.76
871,391.419,35.1173,28.5983,113.7619,9.4347,2.3888,2945.8937,27.0334,6.519,8.76
872,392.103,35.1988,28.6175,114.6953,9.5606,2.3807,2982.5026,27.3025,6.5813,8.76
873,392.785,35.2583,28.5292,112.6361,9.3111,2.3844,2937.2409,27.3321,6.7291,8.76
874,393.469,35.2985,28.5191,114.3565,9.4402,2.362,3013.6618,27.145,6.7794,8.76
875,394.151,35.1173,28.3671,112.89,9.3079,2.366,3032.3452,26.0508,6.7502,8.76
876,394.839,35.1951,28.4662,116.6416,9.6433,2.3808,2941.7531,26.2779,6.7289,8.76
877,395.53,35.3142,28.7668,110.3161,9.7716,2.3874,2926.163,26.4149,6.5474,8.76
878,396.221,35.1732,28.7261,116.0769,9.4953,2.3705,2925.2121,26.6688,6.4471,8.76
879,396.912,35.1138,28.8754,114.0048,9.5512,2.3879,2857.9594,27.7321,6.2384,8.76
880,397.602,35.223,28.6707,111.463,9.611,2.486,2713.7043,27.856,6.5523,8.76
881,398.3,35.1275,28.6956,117.1196,8.7907,2.4799,2833.7529,26.747,6.4319,8.76
882,398.996,35.0739,28.7403,115.8226,8.9729,2.4729,2715.3417,27.2118,6.3336,8.76
883,399.696,35.1029,28.6277,121.6553,9.0481,2.4759,2724.7956,26.4877,6.4752,8.76
884,400.401,35.1212,28.6073,116.7546,8.8127,2.4719,2783.8784,26.1977,6.5139,8.76
885,401.105,35.0721,28.8361,121.4467,9.0292,2.4813,2905.2875,28.0768,6.236,8.76
886,401.797,35.1094,28.5389,118.5011,8.9694,2.4845,2930.1645,27.1107,6.5705,8.76
887,402.491,35.0382,28.7833,115.4527,9.0505,2.4623,2722.6523,26.8424,6.2549,8.76
888,403.196,35.0374,28.5258,122.0984,9.0458,2.4751,2888.8747,26.7843,6.5116,8.76
889,403.896,35.0859,28.5835,114.7735,8.7316,2.476,2816.5485,26.6221,6.5024,8.76
890,404.599,35.0358,28.3295,122.2287,8.8261,2.4675,2887.9477,26.3919,6.7063,8.76
891,405.302,35.1867,28.8483,115.6338,8.9662,2.486,2911.5847,26.1836,6.3384,8.76
892,406.004,35.1961,28.6514,123.0234,8.8946,2.4741,2717.3913,25.9388,6.5447,8.76
893,406.718,35.1876,28.5686,120.6309,8.8777,2.4861,2743.7351,27.0164,6.619,8.76
894,407.426,35.0725,28.5092,121.6813,8.9891,2.4762,2875.8588,26.4877,6.5633,8.76
