,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
1560,1101.843,39.0866,28.4342,138.4946,14.0145,2.9756,3966.6796,26.1123,10.6524,12.26
1561,1103.212,39.1661,28.4068,135.5977,13.8632,2.9678,4043.1267,27.0064,10.7593,12.26
1562,1104.577,39.2908,28.6413,136.8524,13.8632,2.9771,4072.9509,28.3992,10.6495,12.26
1563,1105.937,39.2166,28.7227,135.2623,13.8916,2.9734,4045.4892,26.8385,10.4939,12.26
1564,1107.306,39.1639,28.5521,135.4187,14.0125,2.9714,4266.0097,27.2545,10.6118,12.26
1565,1108.6689,39.3227,28.5021,138.5468,13.9291,2.9725,4254.9169,26.9585,10.8206,12.26
1566,1110.034,39.1977,28.5292,135.7836,13.8206,2.9696,4066.3261,27.5281,10.6685,12.26
1567,1111.4029,39.1391,28.4431,138.651,13.9668,2.9734,4100.7885,28.5962,10.696,12.26
1568,1112.769,39.0312,28.2648,141.2116,13.905,2.9678,4274.7221,26.9256,10.7664,12.26
1569,1114.139,39.1216,28.2251,141.6087,13.9538,2.9703,3955.3486,26.8099,10.8965,12.26
1570,1115.5169,39.2154,28.2152,136.6178,13.8964,2.9729,4032.8,27.6396,11.0002,12.26
1571,1116.8919,39.294,28.3605,137.1391,13.7628,2.9672,3973.6853,27.9981,10.9335,12.26
1572,1118.2679,39.2322,28.424,140.1629,13.8964,2.971,4006.4104,26.9038,10.8082,12.26
1573,1119.65,39.2585,28.8123,140.5247,13.912,2.9668,4195.0219,27.0054,10.4462,12.26
1574,1121.0279,39.1572,28.4101,131.5086,14.4247,2.8846,4313.6503,27.498,10.7471,12.26
1575,1122.404,39.1007,28.3697,131.6911,14.3649,2.8673,4214.2719,26.4608,10.731,12.26
1576,1123.786,39.358,28.4497,135.2475,14.5828,2.8828,4094.0725,27.2433,10.9083,12.26
1577,1125.1689,39.2402,28.4794,135.8879,14.3276,2.8692,4357.2988,26.8523,10.7608,12.26
1578,1126.55,39.2189,28.2681,133.0727,14.4709,2.8747,4134.6992,27.7976,10.9508,12.26
1579,1127.9329,39.293,28.5818,132.1342,14.4992,2.8885,4387.4614,27.4133,10.7112,12.26
1580,1129.3139,39.2578,28.3867,131.5086,14.4631,2.8737,4276.9565,27.403,10.8711,12.26
1581,1130.6979,39.0741,28.0997,137.115,14.4852,2.7835,4243.6816,27.328,10.9744,12.26
1582,1132.0849,39.2646,28.3804,131.6478,15.1575,2.7755,4226.3442,27.8294,10.8842,12.26
1583,1133.4709,39.4255,28.5123,128.1122,15.0914,2.7797,4266.6162,27.769,10.9132,12.26
1584,1134.859,38.9994,28.2152,128.953,15.2898,2.7843,4362.7905,26.2448,10.7842,12.26
1585,1136.2509,39.2906,28.387,132.6517,14.9828,2.7817,4378.2836,27.1087,10.9036,12.26
1586,1137.6409,39.2527,28.3638,127.9491,15.0776,2.782,4246.4848,27.6218,10.8889,12.26
1587,1139.034,39.2412,28.1796,129.7621,15.2245,2.7762,4400.1171,26.9386,11.0616,12.26
1588,1140.427,39.2589,28.6286,126.8948,15.0365,2.7743,4426.0844,26.5051,10.6303,12.26
1589,1141.8239,39.4109,28.5632,131.3001,14.8572,2.6965,4397.1074,26.8622,10.8477,12.26
1590,1143.2209,39.4882,28.4992,125.4921,15.8811,2.6829,4591.6025,28.0865,10.989,12.26
1591,1144.6109,39.2962,28.0832,124.3402,15.6757,2.6744,4413.9287,27.9852,11.213,12.26
1592,1146.005,39.3023,28.441,122.3851,15.5922,2.6898,4517.165,26.8869,10.8613,12.26
1593,1147.405,39.4402,28.5157,125.8521,15.7709,2.6804,4375.0908,26.2419,10.9245,12.26
1594,1148.811,39.2857,28.3407,122.9294,15.826,2.6865,4593.9462,27.2963,10.945,12.26
1595,1150.2099,39.5195,28.4827,124.0126,15.6732,2.6713,4536.9765,26.6785,11.0368,12.26
