,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
0,1927,0.0,40.9903,30.4113,140.3454,14.2192,3.1328,4375.729,29.4598,10.579,12.259459459459459
1,1928,0.504,40.8881,30.3967,138.4425,14.0744,3.2292,4212.3002,28.4634,10.4914,12.259459459459459
2,1929,0.753,41.0534,30.5895,140.705,14.1682,2.9286,4364.6948,28.2715,10.4639,12.259459459459459
3,1930,1.0,41.0861,30.6302,135.1059,14.0697,3.0742,4016.0642,29.266,10.4559,12.259459459459459
4,1931,1.251,40.9485,30.3618,137.4519,14.2896,2.8831,4354.1362,27.5125,10.5867,12.259459459459459
5,1932,1.5030000000000001,41.012,30.2925,137.3544,14.2167,2.9862,4303.1318,28.5168,10.7195,12.259459459459459
6,1933,1.7519999999999998,41.0691,30.5236,140.9738,14.2049,3.2795,4082.5583,27.8198,10.5455,12.259459459459459
7,1934,2.008,41.0855,30.5699,140.4983,14.0498,2.9972,4224.5585,29.2695,10.5156,12.259459459459459
8,1935,2.256,41.2623,30.5038,137.6605,14.1359,2.9474,4325.6752,28.4645,10.7585,12.259459459459459
9,1936,2.506,41.0168,30.4939,135.1892,14.1917,3.0647,4097.4277,27.5905,10.5229,12.259459459459459
10,1937,2.763,41.0627,30.4809,137.843,14.1254,3.0265,4283.8784,28.7494,10.5818,12.259459459459459
11,1938,3.013,41.083,30.7796,134.9261,14.1917,2.9496,4087.0078,27.6145,10.3034,12.259459459459459
12,1939,3.2710000000000004,41.1441,30.5114,136.6511,14.1658,3.0161,4311.5839,28.9697,10.6327,12.259459459459459
13,1940,3.52,41.0435,30.6954,135.8749,14.1872,3.034,4038.2285,27.4762,10.3481,12.259459459459459
14,1941,3.779,41.1753,30.4368,137.4652,14.1317,2.945,4323.8046,27.2484,10.7385,12.259459459459459
15,1942,4.035,41.1541,30.5114,138.9825,14.2089,2.9335,4078.6728,27.7669,10.6427,12.259459459459459
16,1943,4.294,41.0881,30.3723,139.3537,14.1302,2.9985,4359.4086,28.6411,10.7158,12.259459459459459
17,1944,4.544,41.0662,30.6293,141.238,14.0716,3.0128,4216.8393,27.6973,10.4369,12.259459459459459
18,1945,4.8,41.0148,30.43,139.016,14.2882,2.8559,4384.8964,29.4955,10.5848,12.259459459459459
19,1946,5.047,41.0848,30.735,139.3288,14.1852,2.9431,4132.2314,28.7076,10.3498,12.259459459459459
20,1947,5.3020000000000005,40.838,30.6359,140.606,14.1788,2.9822,4253.1069,28.3495,10.2021,12.259459459459459
21,1948,5.557,40.9968,30.2792,141.8457,14.0412,3.0372,4309.7255,27.4019,10.7176,12.259459459459459
22,1949,5.814,41.0435,30.5864,138.3583,14.0719,3.0132,4113.1577,28.7098,10.4571,12.259459459459459
23,1950,6.07,40.9824,30.6676,135.4708,14.1399,3.0395,4216.2465,27.7331,10.3148,12.259459459459459
24,1951,6.327999999999999,41.1605,30.2263,137.5562,14.1456,3.0187,4050.5874,28.5124,10.9342,12.259459459459459
25,1952,6.587000000000001,41.1079,30.6326,140.8146,14.0889,2.9679,4341.7431,28.1071,10.4753,12.259459459459459
26,1953,6.841,40.9861,30.6336,140.0326,14.197000000000001,3.0332,4387.0341,27.7976,10.3525,12.259459459459459
27,1954,7.095,40.9666,30.396,139.3288,14.19,2.8051,4120.6904,28.4979,10.5706,12.259459459459459
28,1955,7.353,41.1231,30.5236,136.5354,14.1978,3.0284,4378.4965,28.4734,10.5995,12.259459459459459
29,1956,7.606,40.7602,30.3791,135.8879,14.1545,3.0059,4381.2675,27.8453,10.3811,12.259459459459459
30,1957,7.861000000000001,41.0855,30.4911,136.5396,14.1404,2.9122,4089.6079,28.8997,10.5944,12.259459459459459
31,1958,8.118,41.2977,30.5104,140.0756,14.1348,3.0289,4298.8154,28.3143,10.7873,12.259459459459459
32,1959,8.374,40.8602,30.4537,140.2151,14.1341,2.9444,4076.2714,29.4979,10.4065,12.259459459459459
33,1960,8.631,40.8569,30.5038,137.6978,14.1986,3.0249,4244.4824,29.031999999999996,10.3531,12.259459459459459
