,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV
438,159.04,38.5817,32.5381,115.2678,8.3787,2.468,2690.6635,29.9324,6.0436,0
439,159.494,38.4065,31.903,114.1219,8.6009,2.4781,2800.6845,28.119,6.5035,0
440,159.948,38.5452,32.5513,114.3825,8.3293,2.4732,2673.2409,29.2379,5.9939,0
441,160.404,38.3757,32.2607,120.5781,8.4932,2.4925,2856.7802,29.8894,6.115,0
442,160.85,38.5288,32.3036,117.7776,8.401,2.495,2772.9848,27.5592,6.2252,0
443,161.308,38.3769,32.0527,113.392,8.5655,2.4873,2727.2727,28.3132,6.3242,0
444,161.766,38.5615,32.5343,113.5223,8.3033,2.4879,2727.4382,30.0991,6.0272,0
445,162.22,38.5544,32.3135,118.5438,8.416,2.4904,2839.2958,28.8688,6.2409,0
446,162.672,38.4598,32.5819,120.9821,8.3852,2.4771,2898.924,28.5425,5.8779,0
447,163.123,38.7147,32.7528,119.3099,8.523,2.4682,2734.9804,27.9552,5.9619,0
448,163.585,38.5004,32.5547,114.4868,8.4883,2.4674,2769.2307,29.6755,5.9457,0
449,164.039,38.4538,32.264,119.6656,8.5836,2.4838,2893.6115,29.2613,6.1898,0
450,164.49,38.4673,32.2442,121.265,8.3962,2.5047,2691.468,28.5581,6.2231,0
451,164.953,38.4393,32.155,113.4184,8.5072,2.4689,2756.2553,27.8954,6.2843,0
452,165.414,38.4271,32.2838,116.985,8.3947,2.4897,2775.2937,29.0273,6.1433,0
453,165.872,38.466,32.2541,114.9385,8.4017,2.4641,2739.8093,27.6763,6.2119,0
454,166.336,38.272,32.3234,113.9394,8.5571,2.4953,2844.3208,28.5782,5.9486,0
455,166.793,38.6238,32.406,113.1014,8.5655,2.4766,2782.2431,28.1743,6.2178,0
456,167.255,38.6952,32.2119,117.0414,8.3073,2.4756,2855.8735,28.5246,6.4833,0
457,167.713,38.5281,32.7746,112.61,8.6395,2.4679,2808.1999,29.0574,5.7535,0
458,168.171,38.5645,32.4126,121.0536,8.3112,2.4583,2773.156,28.622,6.1519,0
459,168.634,38.5238,32.1237,113.2877,8.4773,2.4762,2837.8632,29.9127,6.4001,0
