,Unnamed: 0,Time (sec),PT1 (psi),PT2 (psi),torque (mNm),V (V),I (A),Speed (RPM),Flow Rate (GPM),DP (psi),GV,Speed (rad/s),torque_adj (mNm),turbine power (w),fluid power (w),turbine eff
0,24,865.0,34.5315,29.2457,137.43196919999997,2.189238462,2.978061538,1475.581831,26.86921538,5.2858,0.0,154.5225678247714,158.9665769347714,24.563923666274952,56.04093055282145,0.4383211239349817
1,25,866.0,35.92322143,28.13501786,138.2985929,8.954489286,2.975314286,2983.444786,26.49446786,7.788203571,7.8810810810000005,312.4256070459474,158.8347217508558,49.62403436298527,84.09913327372207,0.5900659427900546
2,0,27.44,35.05889444,28.69797778,75.28552222,12.94653889,1.5601777780000001,3472.774228,26.79613889,6.360916667000001,0.0,363.66806632647416,90.91482050844341,33.06281697472409,68.42014855124086,0.4832321717331973
3,1,142.46200000000002,35.38665,28.58695,53.80105,15.93196429,1.0746714290000001,3994.605107,26.96614286,6.7997,0.0,418.31406812678875,67.6127976362837,28.283384436667163,74.0011661341247,0.3822018748380863
4,2,153.487,35.32588462,28.56745385,57.20699231,15.27848462,1.166530769,3862.325069,26.69427692,6.758430768999999,0.0,404.4617349560381,72.02161421738569,29.129987040698275,72.77589642758132,0.40026971113554444
5,3,164.058,35.26127692,28.67930769,62.07294615,14.71948462,1.261838462,3797.821338,27.15807692,6.581969231,0.0,397.7069200491322,76.5959355352286,30.462733609997645,71.95571227049652,0.42335393047715075
6,4,174.96400000000003,35.16752308,28.69909231,67.41482308,14.08013077,1.364353846,3682.8945380000005,27.40045385,6.468430768999999,0.0,385.67181371019825,81.51619214492379,31.438497671281773,71.24463535171894,0.44127529765682555
7,5,183.445,35.16471667,28.73588333,71.059,13.55520833,1.4514583330000002,3555.237042,27.106925,6.428833332999999,0.0,372.3035520051647,85.6967981298349,31.905222339207093,70.0145197756106,0.4556943679890983
8,6,192.638,35.065325,28.7665,74.99046667,12.871975,1.5560666669999998,3455.686075,26.9369,6.298825,0.0,361.87859913091165,90.71750650266509,32.82872416983381,68.05201556737656,0.48240634602998544
9,7,202.588,34.93809167,28.6703,79.5303,12.37674167,1.645108333,3300.906342,26.96659167,6.267791667000001,0.0,345.6701034121862,94.9910879748349,32.835579203497254,67.76299947287991,0.4845650201278162
10,8,212.31799999999998,34.99176667,28.89785833,83.864675,11.72539167,1.7484166669999999,3243.104308,26.99879167,6.093908333,0.0,339.6170885732045,99.94940245766509,33.94452506730371,65.80178908313586,0.5158602150530774
11,9,220.77700000000002,34.86081818,28.76006364,87.51584545,11.12738182,1.835954545,3124.1353,27.0431,6.100754545,0.0,327.1586832028515,104.1508091736385,34.073841583759034,65.99031326616053,0.5163461104712154
12,10,231.53599999999997,34.85754545,28.86330909,92.05433636,10.4317,1.9412909090000001,3045.9222640000003,26.78419091,5.994236364,0.0,318.96823323512535,109.20645956472771,34.83339146522435,64.11749621618247,0.5432743560007078
13,11,242.106,34.75880909,28.87856364,97.81359091,9.726981817999999,2.034663636,2874.392218,26.84446364,5.880245455,0.0,301.0056488428666,113.6879116089108,34.22070359943066,62.93069847058239,0.5437839469623474
